Key,Burmese
Custom CSS,စိတ်ကြိုက် CSS
Custom Favicon,စိတ်ကြိုက် ဖာဗစ်ကွန်
Custom JS,စိတ်ကြိုက် JavaScript
Custom landing page,စိတ်ကြိုက် လန်ဒင်း စာမျက်နှာ
custom page error warning,ဤ စိတ်ကြိုက် စာမျက်နှာတွင် မမျှော်လင့်ထားသော အမှားတစ်ခု ဖြစ်နေပါသည်။ မှန်ကန်စွာ အလုပ်မလုပ်နိုင်ပါက ဖြစ်နိုင်ပါသည်။ အသေးစိတ်အတွက် အုပ်ချုပ်သူထံ ဆက်သွယ်ပါ။
Custom Uploads,စိတ်ကြိုက် အပ်လုဒ်များ
Customize,စိတ်ကြိုက်ပြင်ဆင်
Customized,စိတ်ကြိုက်ပြင်ဆင်ထားသော
Dark,မှောင်
Dark Theme,အမှောင် အသွင်အပြင်
Dashboard,ဒက်ရှ်ဘုတ်
Data may be outdated.,ဒေတာများသည် အဟောင်းဖြစ်နေနိုင်သည်။
Data source,ဒေတာရင်းမြစ်
Data sources,ဒေတာရင်းမြစ်များ
Data visualizations,ဒေတာမြင်ကွင်းများ
Data was updated recently. You can refresh again in a few seconds.,ဒေတာကို မကြာသေးမီက အပ်ဒိတ်လုပ်ပြီးပါပြီ။ အနည်းငယ် စက္ကန့်အတွင်း ထပ်မံ ပြန်လည်အသစ်ပြုနိုင်ပါသည်။
Date,ရက်စွဲ
Date added,ဒေတာ ထည့်ပြီး
Date modified,ရက်စွဲ ပြင်ဆင်ပြီး
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).",ရက်စွဲ သို့မဟုတ် ဂဏန်း × ဂဏန်းသည် scatter နှင့် heatmap ကို အသုံးပြုခွင့်ပြုသည်။ Line၊ area နှင့် bar များသည် အဓိက အတိုင်းအတာပေါ်တွင် တိုင်းတာချက်ကို ဖော်ပြသည် (ဥပမာ – မှတ်ပုံတင်ရက်စွဲအလိုက် အင်ဂျင်အရွယ်အစား အများဆုံး)။
"Date or numeric × select enables line and area charts with one line per breakdown
                value over time.",Date သို့မဟုတ် နံပါတ် × ရွေးချယ်ခြင်းသည် အချိန်အလိုက် တစ်ခုချင်းစီ ခွဲခြားချက်တန်ဖိုးအတွက် တစ်ကြောင်းစီပါဝင်သည့် လိုင်းနှင့် ဒေသဂရပ်ဇယားများကို ဖွင့်ပေးသည်။
Date range,ရက်စွဲအကွာအဝေး
Day,နေ့
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.",ထုတ်လုပ်ထားသော ECharts ရွေးချယ်စရာပေါ်တွင် နက်ရှိုင်းစွာ ပေါင်းစည်းထားသည်။ Chart တက်ဘ်တွင် မမြင်သာသေးသော ရွေးချယ်စရာများကို တိကျစွာ ချိန်ညှိရန် အသုံးပြုပါ။
Default,မူလတန်ဖိုး
Default date format,မူလ ရက်စွဲ ဖော်မတ်
Default filter,မူလ စစ်ထုတ်စနစ်
Default language,မူလဘာသာစကား
Default language change success,ပုံသေမူလ ဘာသာစကား ပြောင်းလဲမှု အောင်မြင်ပါသည်
Default template,ပုံသေမူလ ပုံစံပြား
Default template set successfully.,မူလပုံစံကို အောင်မြင်စွာ သတ်မှတ်ပြီးပါပြီ။
Default View,မူလ ပြသမှု
Delete,ဖျက်ရန်
DELETE,ဖျက်ရန်
Delete entities and documents,အဖွဲ့အစည်းများနှင့် စာရွက်စာတမ်းများကို ဖျက်ပစ်ပါ။
Delete file,ဖိုင်ကို ဖျက်ပါ
Delete relationship,ဆက်နွယ်မှု ဖျက်ရန်
Delete relationships,ဆက်နွယ်မှုများကို ဖျက်ရန်
Delete?,ဖျက်မလား?
Deleted attachment,ဖျက်ထားသော ပူးတွဲဖိုင်
Deleted custom file,ဖျက်ထားသော စိတ်ကြိုက်ဖိုင်
Deleted entity,ဖျက်ထားသော အဖွဲ့အစည်း
Deleted file,ဖျက်ထားသော ဖိုင်
Deleted multiple entities,ဖျက်ထားသော အဖွဲ့အစည်းများစွာ
Deleted page,ဖျက်ထားသော စာမျက်နှာ
Deleted relation type,ဖျက်ထားသော ဆက်နွယ်မှု အမျိုးအစား
Deleted relationship,ဖျက်ထားသော ဆက်နွယ်မှု
Deleted successfully.,အောင်မြင်စွာ ဖျက်လိုက်ပါပြီ။
Deleted template,ဖျက်ထားသော ပုံစံ
Deleted thesaurus,ဖျက်ထားသော အဓိပ္ပာယ်တူစာရင်း
Deleted user,ဖျက်ထားသော အသုံးပြုသူ
Deleted user group,ဖျက်ထားသော အသုံးပြုသူအုပ်စု
Deletion success,ဖျက်ခြင်းအောင်မြင်ပါပြီ
Density,သိပ်သည်းမှု
Description,ဖော်ပြချက်
Deselect all,အားလုံးကိုရွေးချယ်ခြင်းဖျက်ရန်
Details,အသေးစိတ်အချက်အလက်များ
Direction,ဦးတည်ချက်
Disable,ပိတ်
Disable highlights,အထူးအမှတ်အသားများကို ပိတ်ပါ။
Disabled 2FA,2FA ကို ပိတ်ထားသည်
Discard,ပယ်ပစ်
Discard changes,အပြောင်းအလဲများကို ပယ်ရန်
Discard changes?,ပြောင်းလဲမှုများကို ဖယ်ရှားမလား?
Dismiss,ဖယ်ရှား
Display entity view from page,စာမျက်နှာမှ ဖြည့်သွင်းချက် မြင်ကွင်းကို ပြသရန်
Display options,ပြသရွေးချယ်စရာများ
Do you want disable 2FA for the following users?,အောက်ပါ အသုံးပြုသူများအတွက် 2FA ကို ပိတ်ချင်ပါသလား?
Do you want reset the password for the following users?,အောက်ပါ အသုံးပြုသူများအတွက် စကားဝှက်ကို ပြန်လည်သတ်မှတ်လိုပါသလား?
Do you want to delete the following items?,အောက်ပါ အရာများကို ဖျက်လိုပါသလား?
Document,စာရွက်စာတမ်း
Document contents,စာရွက်စာတမ်း မာတိကာ
Document OCR trigger,စာရွက်စာတမ်း OCR Trigger လုပ်ဆောင်ချက်
Document Title,စာရွက်စာတမ်း ခေါင်းစဉ်
Document updated,စာရွက်စာတမ်းကို အပ်ဒိတ်လုပ်ထားသည်။
Documentation,စာရွက်စာတမ်း
documents,စာရွက်စာတမ်းများ
Documents,စာရွက်စာတမ်းများ
documents.,စာရွက်စာတမ်းများ။
Done,ပြီးပြီ
Done creating entities,အဖွဲ့အစည်းများ ဖန်တီးခြင်း ပြီးစီးပါပြီ။
Done creating relationships,ဆက်နွယ်မှုများ ဖန်တီးခြင်း ပြီးစီးပါပြီ။
Done creating thesauri,အဓိပ္ပာယ်တူစာရင်းများ ဖန်တီးခြင်း ပြီးစီးပါပြီ။
Done extracting files,ဖိုင်များ ထုတ်ယူပြီးပါပြီ။
Done scanning,စကင်လုပ်ပြီးပါပြီ
Download,ဒေါင်းလုဒ်လုပ်ရန်
Download a third-party authenticator app from your mobile store.,သင့်မိုဘိုင်းစတိုးမှ တတိယပါတီ အတည်ပြုအက်ပ်ကို ဒေါင်းလုဒ်ဆွဲပါ။
Download all,အားလုံးကို ဒေါင်းလုဒ်လုပ်ပါ
Download failed rows,ဒေါင်းလုဒ် မအောင်မြင်သော အတန်းများ
Draft restored from release.,ထုတ်လွှင့်မှုမှ ပြန်လည်ထူထောင်ထားသော မူကြမ်း။
Drag and drop file in this window to upload,အပ်လုဒ်လုပ်ရန် ဖိုင်ကို ဤဝင်းဒိုးထဲသို့ ဆွဲချပါ
Drag row,အတန်းကို ဆွဲရန်
Drop your files here to upload or,သင့်ဖိုင်များကို အပ်လုဒ်လုပ်ရန် ဒီနေရာတွင် ချပါ သို့မဟုတ်
Duplicate values not allowed.,တန်ဖိုးတူများကို ခွင့်မပြုပါ။
Duplicated email,ပွားထားသော အီးမေးလ်
Duplicated name,ပွားထားသော အမည်
Duplicated username,ပွားထားသော အသုံးပြုသူအမည်
Duration,ကြာမြင့်ချိန်
e.g.,ဥပမာအားဖြင့်
Each series uses the template brand color when comparing data sources.,စီးရီးတိုင်းသည် ဒေတာရင်းမြစ်များကို နှိုင်းယှဉ်သည့်အခါ တင်ပုံစံအမှတ်တံဆိပ်အရောင်ကို အသုံးပြုသည်။
Earlier,ယခင်က
Edit,တည်းဖြတ်ရန်
Edit at source,အရင်းအမြစ်တွင် တည်းဖြတ်ပါ
Edit date,ရက်စွဲ ပြင်ဆင်ပြီး
Edit Extractor,ထုတ်ယူသူကို တည်းဖြတ်ပါ
Edit File,ဖိုင် တည်းဖြတ်
Edit group,အုပ်စုကို တည်းဖြတ်ပါ
Edit item,ပစ္စည်း တည်းဖြတ်ရန်
Edit metadata of entities,အဖွဲ့အစည်းများ၏ မက်တာဒေတာကို တည်းဖြတ်ပါ။
Edit theme,အသွင်အပြင် တည်းဖြတ်ရန်
Edit user,အသုံးပြုသူကို တည်းဖြတ်ပါ
Edited,ပြင်ဆင်ပြီး
Editor,အယ်ဒီတာ
editor,အယ်ဒီတာ
Editors,အယ်ဒီတာများ
Email,အီးမေးလ်
Embed,ထည့်သွင်း
Embed in pages,စာမျက်နှာများတွင် ထည့်သွင်းရန်
Empty,ဗလာ
Empty group. Drop here to add,အုပ်စုမရှိပါ။ ထည့်ရန် ဒီမှာ ဆွဲချပါ။
empty property tip,ဤဂုဏ်သတ္တိသည် ဗလာဖြစ်နေပါက အဖွဲ့အစည်းကို သိမ်းဆည်း၍ မရနိုင်ပါ။
Enable,ဖွင့်ရန်
Enable public embedding to use this chart in external sites on private instances.,ပုဂ္ဂလိက အင်စတန်စ်များတွင် ပြင်ပဆိုဒ်များ၌ ဤဂရပ်ဇယားကို ထည့်သွင်းအသုံးပြုနိုင်ရန် အများပြည်သူ ထည့်သွင်းခွင့်ကို ဖွင့်ပါ။
Enable this page to be used as an entity view page:,ဖြည့်သွင်းချက် ကြည့်ရန်အတွက် စာမျက်နှာအဖြစ် သုံးရန် ဤစာမျက်နှာကို ဖွင့်ထားပါ-
Enter the 6-digit verification code generated by your Authenticator app,သင့် Authenticator အက်ပ်မှ ထုတ်ပေးထားသော ၆ လုံးပါ အတည်ပြုကုဒ်ကို ထည့်ပါ။
"Enter the full username, email, or group name. Suggestions are not shown.",အသုံးပြုသူအမည်၊ အီးမေးလ် သို့မဟုတ် အုပ်စုအမည်ကို အပြည့်အစုံ ထည့်ပါ။ အကြံပြုချက်များ မပြသပါ။
Enter your current password to confirm,အတည်ပြုရန် သင့်လက်ရှိ စကားဝှက်ကို ထည့်ပါ။
Entities,ဖြည့်သွင်းချက်များ
entities,ဖြည့်သွင်းချက်များ
Entities across all languages,ဘာသာစကားအားလုံးရှိ အဖွဲ့အစည်းများ
Entities created,အဖွဲ့အစည်းများ ဖန်တီးခဲ့သည်။
Entities updated,အဖွဲ့အစည်းများ အပ်ဒိတ်လုပ်ပြီးပါပြီ။
entities · generated,အဖွဲ့အစည်းများ · ထုတ်လုပ်ထားသော
Entity,ဖြည့်သွင်းချက်
Entity creation stage completed.,အဖွဲ့အစည်းဖန်တီးခြင်းအဆင့်ပြီးစီးပါပြီ။
Entity deleted,အဖွဲ့အစည်း ဖျက်သွားပါပြီ။
Entity Page,အဖွဲ့အစည်းစာမျက်နှာ
Entity saved,အဖွဲ့အစည်း သိမ်းဆည်းပြီးပါပြီ။
Entity scope,အဖွဲ့အစည်း၏ အကျယ်အဝန်း
Entity type,အဖွဲ့အစည်းအမျိုးအစား
Entity types,ဖြည့်သွင်းချက် အမျိုးအစားများ
Entity updated,အဖွဲ့အစည်းကို အပ်ဒိတ်လုပ်ခဲ့သည်။
Error,ချွတ်ယွင်းချက်
Error adding thesauri.,အဓိပ္ပာယ်တူစာရင်းများ ထည့်သွင်းရာတွင် အမှားဖြစ်ပါသည်။
Error loading your image,သင့်ပုံကို တင်နေစဉ် အမှားဖြစ်နေပါသည်။
Error saving template.,ပုံစံ သိမ်းဆည်းရာတွင် အမှားဖြစ်နေသည်။
Error updating thesauri.,အဓိပ္ပာယ်တူစာရင်းများကို အပ်ဒိတ်လုပ်ရာတွင် အမှားဖြစ်နေသည်။
Every language has a value — use the re-translate button on a row,Every language has a value — use the re-translate button on a row
evidence,သက်သေ
exact phrase,တိကျသော စကားစု
Expand all,အားလုံးကို တိုးချဲ့ပြရန်
Expand All,အားလုံးကို တိုးချဲ့ပြရန်
Export CSV,CSV တင်ပို့ရန်
Exporting entities to CSV,ဖြည့်သွင်းချက်များကို CSV သို့ တင်ပို့နေသည်
Extension Token,တိုးချဲ့တိုကင်
External embed,ပြင်ပထည့်သွင်းခြင်း
Extract new paragraphs,အပိုဒ်အသစ်များကို ထုတ်ယူပါ။
Extract paragraphs,အပိုဒ်များကို ထုတ်ယူပါ
Extracting files,ဖိုင်များ ထုတ်ယူခြင်း
Extracting files from uploaded package.,တင်ထားသော ပက်ကေ့ဂျ်မှ ဖိုင်များကို ထုတ်ယူခြင်း။
Extraction configuration,ထုတ်ယူမှု ဖွဲ့စည်းမှု
Extractor Name,ထုတ်ယူသူအမည်
Extractor name,ထုတ်ယူသူအမည်
Extractor/s deleted,ထုတ်ယူသူ(များ) ဖျက်သွားပါပြီ။
Extractors,ထုတ်ယူသူများ
Failed,မအောင်မြင်ခဲ့ပါ
Failed to mark table of contents as reviewed,အကြောင်းအရာဇယားကို ပြန်လည်သုံးသပ်ပြီးကြောင်း မမှတ်သားနိုင်ခဲ့ပါ။
Failed to save table of contents,အကြောင်းအရာဇယား သိမ်းဆည်းရန် မအောင်မြင်ပါ။
Failure details,ပျက်ကွက်မှုအသေးစိတ်
Favicon description,"Favicon ဆိုသည်မှာ သင့်စုစည်းမှုကို ဘရောက်ဇာ တက်ဘ်များနှင့် အမှတ်အသားများတွင် ကိုယ်စားပြုသည့် သေးငယ်သော အိုင်ကွန်တစ်ခုဖြစ်သည်။ မူလ favicon သည် Uwazi လိုဂိုဖြစ်သည်။ ကိုယ်ပိုင် favicon အသုံးပြုရန်:

၁။ လိုအပ်ပါက Custom Uploads တွင် သင့်အိုင်ကွန်ကို တင်ပါ။
၂။ ""Select favicon image"" ကိုနှိပ်ပြီး ဖိုင်တစ်ခုကိုရွေးချယ်ပါ (Custom Uploads မှပုံများသာ)။
၃။ စာမျက်နှာကို ပြန်လည်ဖွင့်၍ သင့် favicon အသုံးပြုနေမှုကို ကြည့်ရှုပါ။"
Favicon no images hint,Favicon အတွက် ပုံမရှိပါ၊ အကြံပြုချက်မရှိပါ။
FEATURED,အထူးတင်ဆက်ထားသော
File,ဖိုင်
file,ဖိုင်
File deleted,ဖိုင် ဖျက်သွားပါပြီ
File details,ဖိုင်အသေးစိတ်
File extraction completed successfully.,ဖိုင်ထုတ်ယူခြင်း အောင်မြင်စွာ ပြီးစီးပါပြီ။
File name,ဖိုင်အမည်
File preview unavailable,ဖိုင်ကြိုကြည့်ရှုခြင်း မရနိုင်ပါ။
File updated,ဖိုင်ကို အပ်ဒိတ်လုပ်ပြီးပါပြီ။
Files,ဖိုင်များ
files,ဖိုင်များ
Files and database usage,ဖိုင်များနှင့် ဒေတာဘေ့စ် အသုံးပြုမှု
Fill,ဖြည့်ရန်
Filter,စစ်ထုတ်
Filter unauthorized relationships,မူလအနေဖြင့် ကန့်သတ်ထားသော အဖွဲ့အစည်းများဆီသို့ ညွှန်ပြထားသည့် ဆက်နွယ်မှုများကို အမည်မသိအသုံးပြုသူများ မြင်နိုင်သော်လည်း ချိတ်ဆက်၍ မရပါ။ ဖွင့်ထားပါက ဤဆက်နွယ်မှုများအားလုံးကို လုံးဝ ဖျောက်ပစ်ကာ အများပြည်သူအသုံးပြုသူများအား ကန့်သတ်ထားသော အကြောင်းအရာ ရှိကြောင်း မသိစေရန် တားဆီးပေးသည်။
Filters,စစ်ထုတ်မှုများ
Filters AND operator,စစ်ထုတ်မှုများနှင့် အော်ပရေတာ
Filters configuration,စစ်ထုတ်မှုများ စနစ်ဖွဲ့စည်းမှု
Filters configuration description,မူလအနေဖြင့် အသုံးပြုသူများသည် သင် သတ်မှတ်ထားသည့် အမျိုးအစားများအပေါ် အခြေခံကာ စာကြည့်တိုက်ရှိ အဖွဲ့အစည်းများကို စစ်ထုတ်နိုင်ပါသည်။ သို့သော် ဤအဖွဲ့အစည်းအမျိုးအစားများကို မည်သို့ ပြသမည်ကို သင် စိတ်ကြိုက် ချိန်ညှိနိုင်ပါသည်။
Filters configuration example,"အောက်ရှိ ""အုပ်စု ထည့်ပါ"" ကို ရွေးချယ်ခြင်းဖြင့် စစ်ထုတ်မှုများကို အညွှန်းတစ်ခုအောက်တွင် အုပ်စုဖွဲ့နိုင်ပါသည် ဥပမာ (""စာရွက်စာတမ်းများ"" သို့မဟုတ် ""လူများ"")"
Filters OR operator,စစ်ထုတ်မှုများ သို့မဟုတ် အော်ပရေတာ
Filters saved,စစ်ထုတ်များ သိမ်းဆည်းပြီးပါပြီ။
Find,ရှာရန်
Find suggestions,အကြံပြုချက်များ ရှာဖွေပါ။
Find suggestions after training,လေ့ကျင့်မှုပြီးနောက် အကြံပြုချက်များကို ရှာပါ။
Find suggestions for,အတွက် အကြံပြုချက်များ ရှာပါ။
Find suggestions for selected,ရွေးချယ်ထားသောအတွက် အကြံပြုချက်များ ရှာပါ။
Finding suggestions,အကြံပြုချက်များ ရှာဖွေခြင်း
Fit,ကိုက်ညီသော
Flag,အလံ
for,အတွက်
For all entities,အဖွဲ့အစည်းအားလုံးအတွက်
For entities with blank values,တန်ဖိုးမရှိသေးသော အဖွဲ့အစည်းများအတွက်
Forgot Password or Username?,စကားဝှက် သို့မဟုတ် အသုံးပြုသူအမည် မေ့သွားပါသလား?
Forms and email configuration,ပုံစံများနှင့် အီးမေးလ် ဖွဲ့စည်းတည်ဆောက်ပုံ
From,မှ
From all suggestions,အကြံပြုချက်အားလုံးမှ
From previous step,ယခင်အဆင့်မှ
From selection,ရွေးချယ်မှုမှ
From:,မှ:
Full mode,ပြည့်စုံသော မုဒ်
Full width,အကျယ်ပြည့်
General,ယေဘုယျ
General access,အထွေထွေဝင်ရောက်ခွင့်
General Information,အထွေထွေ အချက်အလက်များ
Generated ID,ဖန်တီးထားသော ID
Global CSS,ကမ္ဘာသုံး CSS
Global CSS & JS,ကမ္ဘာလုံးဆိုင်ရာ CSS နှင့် JS
Global JS,ကမ္ဘာလုံးဆိုင်ရာ JS
Google,ဂူဂဲလ်
Google Analytics,ဂူဂဲလ် အန်လိယတစ်စ်
Google Maps,ဂူဂဲလ် မြေပုံ
Group,အုပ်စု
Group by,အုပ်စုခွဲခြင်းဖြင့်
group expressions,အုပ်စုဖော်ပြချက်များ
Group Options,အုပ်စုရွေးချယ်စရာများ
Group saved,အုပ်စု သိမ်းဆည်းပြီးပါပြီ။
Group updated,အုပ်စုကို အပ်ဒိတ်လုပ်ပြီးပါပြီ။
Grouped geolocation properties,အုပ်စုခွဲထားသော တည်နေရာသတ်မှတ်ခြင်းဆိုင်ရာ အင်္ဂါရပ်များ
Groups,အုပ်စုများ
Header and button preview,ခေါင်းစီးနှင့် ခလုတ် ကြိုကြည့်
Header bar active background,ခေါင်းစီးဘား လှုပ်ရှားနေသော နောက်ခံ
Header bar background,ခေါင်းစီးဘား နောက်ခံ
Header bar divider,ခေါင်းစီးဘား ခွဲခြားတံ
Header bar hover background,ခေါင်းစီးဘား hover နောက်ခံ
Header bar text,ခေါင်းစီးဘား စာသား
help,အကူအညီ
here,ဒီမှာ
"Hi, I'm Bert.",ဟိုင်း၊ ကျွန်တော် Bert ပါ။
Hide,ဖုံးကွယ်
Hide actions,လုပ်ဆောင်ချက်များကို ဖျောက်ရန်
Hide details,အသေးစိတ် ဖျောက်ရန်
Hide label,အမှတ်အသား ဖုံးကွယ်ပါ
Hide restricted relationships from public,ကန့်သတ်ထားသော ဆက်နွယ်မှုများကို အများပြည်သူထံမှ ဖျောက်ပါ။
Hide toolbar,ကိရိယာတန်းကို ဖျောက်ရန်
HTML,HTML
https://yourdomain,https://yourdomain
hub,hub
hubs,ဟတ်ဘ်များ
Hybrid,ပေါင်းစပ်
Icon,အိုင်ကွန်
ID,အိုင်ဒီ
ID:,အိုင်ဒီ:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.",သင်ပေးထားသော အီးမေးလ်ဖြင့် အကောင့်တစ်ခု ရှိနေပါက၊ သင့်စကားဝှက် ပြန်လည်သတ်မှတ်ရန် လမ်းညွှန်ချက်များပါဝင်သည့် အီးမေးလ်ကို လက်ခံရရှိမည်ဖြစ်သည်။
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",ပြင်ပ URL ဖြစ်ပါက URL ပုံစံအပြည့်အစုံကို သုံးပါ။ ဥပမာ- http://www.uwazi.io။
"If you want to continue, please type",ဆက်လက်ဆောင်ရွက်လိုပါက ကျေးဇူးပြု၍ စာရိုက်ပါ
Image doesn't match the required size.,ပုံသည် လိုအပ်သည့် အရွယ်အစားနှင့် မကိုက်ညီပါ။
Import,ထည့်သွင်းရန်
Import / Export CSV,CSV တင်သွင်းခြင်း/ပို့ခြင်း
Import asset,Asset တင်သွင်းပါ
Import CSV,CSV ထည့်သွင်းရန်
Import failed. Review details below.,တင်သွင်းမှု မအောင်မြင်ပါ။ အောက်တွင် အသေးစိတ်ကို ကြည့်ပါ။
Import finished successfully.,တင်သွင်းမှု အောင်မြင်စွာ ပြီးဆုံးခဲ့သည်။
Import finished with errors. Review details below.,အချက်အလက် တင်သွင်းခြင်းကို အမှားများကြောင့် ပြီးဆုံးခဲ့သည်။ အောက်တွင် အသေးစိတ်ကို ကြည့်ပါ။
Import is currently processing rows.,Import သည် လက်ရှိတွင် အတန်းများကို ဆောင်ရွက်နေပါသည်။
Import is retrying after an error.,အမှားတစ်ခုဖြစ်ပြီးနောက် တင်သွင်းခြင်းကို ထပ်မံကြိုးပမ်းနေပါသည်။
Import theme instance file,အသွင်အပြင် instance ဖိုင်ကို တင်သွင်းပါ။
Import was cancelled.,တင်သွင်းခြင်းကို ဖျက်သိမ်းခဲ့သည်။
Imported translations from file,ဖိုင်မှ တင်သွင်းထားသော ဘာသာပြန်ချက်များ
in,၌
"In a group, either all relationships must have a hub or none of them.",အုပ်စုတစ်ခုတွင် ဆက်နွယ်မှုအားလုံးတွင် hub တစ်ခုရှိရမည် သို့မဟုတ် တစ်ခုမှမရှိရမည်။
In OCR queue,OCR စောင့်ဆိုင်းနေသည်
In use,အသုံးပြုနေသည်
Include all entities,အဖွဲ့အစည်းအားလုံးကို ထည့်ပါ။
Include only public,အများပြည်သူအတွက်သာ ထည့်ပါ။
Incoming,ဝင်လာမည့်
Info,အချက်အလက်
Information extraction training,အချက်အလက်ထုတ်ယူခြင်း လေ့ကျင့်ရေး
Inherit,အမွေခံ
Inherit property,ဂုဏ်သတ္တိကို အမွေဆက်ခံရန်
Inherit type,အမျိုးအစားကို အမွေခံခြင်း
"Inherited values are read-only. Change the connection above, or edit the source entity.",အမွေဆက်ခံထားသော တန်ဖိုးများသည် ဖတ်ရန်သာဖြစ်သည်။ အထက်ပါ ချိတ်ဆက်မှုကို ပြောင်းလဲပါ၊ သို့မဟုတ် မူလအဖွဲ့အစည်းကို တည်းဖြတ်ပါ။
inherits,အမွေခံသည်
Input,ထည့်သွင်း
Input type,ထည့်သွင်းမှု အမျိုးအစား
Install,တပ်ဆင်
Install Language(s),ဘာသာစကားများ တပ်ဆင်ခြင်း
Install the browser extension.,ဘရောက်ဇာ အက်ဆင်ရှင်းကို တပ်ဆင်ပါ။
Installing languages,ဘာသာစကားများ တပ်ဆင်ခြင်း
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.",ဤအရာကို မည်သို့ ပြုလုပ်ရမည်ဆိုသည်မှာ အသုံးပြုသော အက်ပ်အပေါ် မူတည်၍ ကွဲပြားပါမည်၊ အက်ပ်၏ လက်စွဲစာတမ်းကို ကိုးကားပါ။
Instructions to reset password,ပေးထားသော အီးမေးလ်လိပ်စာ မှန်ကန်ပါက၊ စကားဝှက် ပြန်လည်သတ်မှတ်ရန် ညွှန်ကြားချက်များကို ပို့ပေးပါမည်။
Instructions to reset the password were sent to the user,စကားဝှက် ပြန်လည်သတ်မှတ်ရန် ညွှန်ကြားချက်များကို အသုံးပြုသူထံ ပို့လိုက်ပါပြီ။
Invalid captcha,ကက်ပ်ချာ မှားနေသည်
Invalid csv: all the values for a row must be either nested or non-nested,မမှန်ကန်သော CSV: တစ်ကြောင်းအတွင်းရှိ တန်ဖိုးအားလုံးသည် nested သို့မဟုတ် non-nested တစ်ခုဖြစ်ရမည်။
Invalid csv: nested value need to be under a non-nested value,မမှန်ကန်သော CSV: ထပ်ထည့်ထားသော တန်ဖိုးသည် ထပ်ထည့်မထားသော တန်ဖိုးအောက်တွင် ရှိရမည်။
Invalid form,ထည့်သွင်းချက် လိုအပ်နေသည် သို့မဟုတ် မှားယွင်းသော တန်ဖိုး ပါဝင်နေသည်။ ပြင်ဆင်ပြီး ထပ်မံကြိုးစားပါ။
Invalid URL,မမှန်ကန်သော URL
It could also very easily break the app. Only write code here if you know exactly what you are doing.,၎င်းသည် အက်ပ်ကိုလည်း အလွန်လွယ်ကူစွာ ဖျက်နိုင်သည်။ သင်ဘာလုပ်နေသည်ကို သေချာသိမှသာ ဤနေရာတွင် ကုဒ်ရေးပါ။
it has been logged with request id #,တောင်းဆိုချက် ID # ဖြင့် မှတ်တမ်းတင်ထားပါသည်။
Item,ပစ္စည်း
Items:,ပါဝင်သည့်အရာများ-
Javascript,ဂျာဗာစကရစ်ပ်
juris*,ဥပဒေ*
key,သော့
Label,တံဆိပ် အမှတ်အသား
"Label date ""From""","ရက်စွဲ ""မှ"" တံဆိပ်တပ်ပါ"
"Label date ""to""","ရက်စွဲ ""သို့"" တံဆိပ်တပ်ပါ"
Labeled,အမှတ်တံဆိပ်တပ်ထားသော
Landing page,ရောက်ရှိမည့် စာမျက်နှာ
Landing page description,"လန်ဒင်းစာမျက်နှာသည် ဧည့်သည်များ သင့်စုစည်းမှုသို့ ရောက်ရှိလာသည့်အခါ ဦးစွာမြင်ရသော စာမျက်နှာဖြစ်သည်။ မူလ လန်ဒင်းစာမျက်နှာမှာ သင့်စုစည်းမှု၏ စာကြည့်တိုက် ဖြစ်ပါသည်။ ဤနေရာတွင် ၎င်း၏ relative URL ကို ထည့်သွင်းခြင်းဖြင့် မတူညီသော လန်ဒင်းစာမျက်နှာကို သတ်မှတ်နိုင်ပါသည်။ ဥပမာ-

စာမျက်နှာတစ်ခု- */page/dicxg0oagy3xgr7ixef80k9*
Uwazi ရှိ စစ်ထုတ်ထားသော မြင်ကွင်း- */library/?searchTerm=test*
အဖွဲ့အစည်းတစ်ခု- */entity/9htbkgpkyy7j5rk9*
စာရွက်စာတမ်းတစ်ခု- */document/4y9i99fadjp833di*

အရေးကြီးသည်- သင်သည် relative URL များကိုသာ အသုံးပြုရမည်ဖြစ်သည်။ ၎င်းတို့သည် ရှေ့သို့ ဆွဲထားသော အနားသတ် (/) ဖြင့် စတင်ပြီး ဒိုမိန်းအမည် မပါဝင်ပါ။ ဥပမာ- *https://yoursite.com/landingpage* ဟူသော လိပ်စာတွင် relative URL မှာ /landingpage ဖြစ်ပါသည်"
Language,ဘာသာစကား
Language Code,ဘာသာစကားကုဒ်
Language deleted,ဘာသာစကား ဖျက်ပြီး
Language reset success,ဘာသာစကား ပြန်လည်သတ်မှတ်ခြင်း အောင်မြင်ပါပြီ။
Language uninstalled successfully,ဘာသာစကားကို အောင်မြင်စွာ ဖယ်ရှားပြီးပါပြီ။
Language(s),ဘာသာစကား(များ)
Language:,ဘာသာစကား:
Languages,ဘာသာစကားများ
Languages installed successfully,ဘာသာစကားများ အောင်မြင်စွာ တပ်ဆင်ပြီးပါပြီ။
Last updated,နောက်ဆုံးအပ်ဒိတ်လုပ်ခဲ့သည်
Last updated from collection:,စုစည်းမှုမှ နောက်ဆုံးအပ်ဒိတ်လုပ်ထားသည်:
