Key,Spanish
List renders as a table. Use the options below to filter empty or zero values.,La lista se muestra en forma de tabla. Utiliza las opciones que aparecen a continuación para filtrar los valores vacíos o iguales a cero.
Live preview,Vista previa en directo
Live translate,Traducción en vivo
Load,Cargar
Load example,Cargar ejemplo
Load more,Ver más
Loading,Cargando
Local time,Hora local
Login,Acceder
Login button,Inicio de Sesión
Login failed,Error de inicio de sesión
Logout,Cerrar Sesión
Longitude,Longitud
Longitude must be between -180 and 180,Longitud debe estar entre -180 y 180
Lookup help,Ayuda para la búsqueda
Lost connection to the server. Your changes may be lost,Se perdió la conexión con el servidor. Los cambios pueden perderse
low,bajo
Manage relationship types,Administrar tipos de relación
Manage site settings and configuration,Administrar la configuración del sitio
Manage types,Administrar tipos
Manual data,Datos manuales
Manually set a color,Establecer un color manualmente
Map,Mapa
Map api key,Clave del API de Mapas
Map API key,Clave de la API de mapas
Map api key tooltip,Se requiere una clave API para usar Mapbox o Google Maps.
Map Layers,Capas del mapa
Map layers description,Descripción de las capas del mapa
Map Provider,Proveedor de mapas
Map view,Vista de mapa
Mapbox,Mapbox
Mapping conflict error,"Es necesaria una reindexación de su colección. El motivo puede variar
         -- de ciertos cambios hechos a la propiedad de una plantilla a nuevos campos
         que deben completarse en todas las entidades.
         Este proceso no afectará negativamente los datos de tu colección.
         Puede durar unos minutos y algunas partes de tu colección pueden tardar
         algún tiempo para reaparecer en la Librería, pero esto es temporal. ¿Quieres continuar?"
Maps,Mapas
Mark as Reviewed,Marcar como Revisado
Mark as reviewed,Marcar como revisado
Markdown,Markdown
"Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax.","El soporte para Markdown en las páginas personalizadas dejará de estar disponible a partir de 2027. Actualiza esta página
cuando su contenido ya no dependa de la sintaxis de Markdown."
marked and labeled,marcado y etiquetado
marked for training,destinado a la formación
Marked for training + all labeled entries,Destinadas a la formación + todas las entradas etiquetadas
Marked for training only,Destinado exclusivamente a fines de formación
Match,Coincidencia
match,coincidencia
match verbatim,coincidir al pie de la letra
matches,condicencisas
"matches jurisdiction, jurists, jurisprudence","coincide con: jurisdicción, juristas, jurisprudencia"
Matches show the passage and the page they are on.,Las coincidencias muestran el fragmento y la página en la que se encuentran.
Matching,Coincidencia
matching,coincidencia
Matomo,Matomo
Members,Miembros
Menu,Menú
Message,Mensaje
Message sent,Mensaje enviado
Metadata,Metadatos
Metadata Extraction,Extracción de metadatos
"Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors.","La métrica muestra un único recuento total. Selecciona ""Circular"", ""De barras"" u otro tipo de gráfico en la parte superior para
 configurar categorías, etiquetas y porciones. Utiliza la pestaña ""Apariencia"" para los colores."
MIGRATE,MIGRAR
Minimum,Mínimo
Mismatch,Desajuste
mismatched passwords,Las contraseñas no coinciden
mismatching,desajuste
Mixed access,Acceso mixto
ML TOC,ML TdC
Modified,Modificado
Month,Mes
Months,Meses
More,Más
more,más
more options.,más opciones.
More rows per screen; same type size,Más filas en la pantalla; mismo tamaño de letra
Multi-source mode,Modo de múltiples fuentes
Multiple date,Fecha múltiple
Multiple date range,Rango de fechas múltiple
Multiple inherited properties warning ([property 1] affects [property 2]),afecta
Multiple matches found,Se han encontrado varias coincidencias
Multiple relationships edit description,Hacer cambios a esta propiedad afectará a otras propiedades en esta plantilla porque todos ellas comparten relaciones con la misma configuración
Multiple select,Selección múltiple
Name,Nombre
Name is required,Se requiere el nombre
Name is too long,El nombre es demasiado largo
Name is too short,El nombre es muy corto
Narrow down your searches,Reducir tus búsquedas
"Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series.","Limita las entidades antes de la agregación. Si hay varias fuentes, selecciona la propiedad bajo el
alias de la fuente para que cada filtro se aplique únicamente a esa serie."
Narrow your search,Reducir tu búsqueda
Navigate back,Navegar hacia atrás
Navigation menu tool tip part 1,"Si utilizas una URL interna de este sitio web, asegúrate de eliminar la primera parte."
Navigation menu tool tip part 2,dejando solo una URL relativa que comienza con una barra inclinada. Es decir. /algun_url.
New,Nuevo
New activity will show up here.,La actividad nueva se mostrará aquí.
New conversation,Nueva conversación
New entity,Nueva entidad
New group,Grupo nuevo
New language added,Nuevo idioma añadido
New page,Nueva página
New password,Nueva contraseña
New primary doc,Nuevo documento primario
New relation type label…,Etiqueta para nuevo tipo de relación…
New relationship type,Nuevo tipo de relación
New relationships group,Nuevo grupo de relaciones
New Relationships Migration,Migración de nuevas relaciones
New user,Nuevo usuario
Next,Próximo
No,No
No attachments,Sin adjuntos
No audio or video on this entity,Sin audio o video en esta entidad
No chart types match your search.,No hay ningún tipo de gráfico que coincida con tu búsqueda.
No common filters,No existen filtros comunes
No connected entities yet.,Todavía no hay entidades conectadas.
No Connections,No existen relaciones
No Connections description,Las conexiones son las relaciones directas entre este documento y otros documentos y entidades.
No context,Sin contexto
No CSVs yet,Aún no hay archivos CSV
No data,No hay datos
NO DATA AVAILABLE,NO HAY DATOS DISPONIBLES
No entities found,No se han encontrado entidades
NO EXTRACTORS,SIN EXTRACTORES
No files available,No hay archivos disponibles
No files queued yet.,Sin archivos en cola.
no filters for templates,La combinación de tipos de entidades no tiene filtros en común.
No Group,Sin grupo
No icon / flag,Sin icono / bandera
No images on this entity,Sin imágenes en esta entidad
No items available,No hay elementos disponibles
No Label,No existe etiqueta
No label,Sin etiqueta
No matches for,Sin coincidencias para
No matches.,No se han encontrado resultados.
No matching entities.,Ninguna coincidencia encontrada.
No media selected,No se ha seleccionado ningún medio
No metadata for this entity yet.,Aún no hay metadatos para esta entidad.
No options,Sin opciones
No options found,Opciones no encontradas
No page,No hay página
No people or groups added yet,Aún no se ha añadido ninguna persona ni grupo
No primary documents,Sin documentos primarios
No primary documents yet. Add a file to get started.,Sin documentos primarios. Añade un archivo para empezar.
No property,El elemento no tiene esta propiedad
No References,Sin referencias
No References description,Las referencias son partes de este documento relacionadas con otros documentos y entidades.
No relationship types,Sin tipos de relación
No Relationships,No existen relaciones
No Relationships description,Las relaciones son vínculos entre entidades.
No relationships found,No se encontraron relaciones
No relationships to graph,No hay relaciones que representar en el gráfico
No releases yet,Aún no hay versiones publicadas
No results found,No se encontraron resultados
No supporting files yet. Add a file to get started.,Sin archivos de soporte. Añade un archivo para empezar.
No table of contents,Sin Tabla de Contenidos
No Table of contents,Sin Tabla de Contenidos
No table of contents description,"Puedes empezar seleccionando texto en el documento y haciendo clic en el botón ""Añadir a TdC""."
No templates available to add.,No hay plantillas disponibles para añadir.
No text match,Sin coincidencias de texto
No text match description,Puedes escribir algo diferente en la barra de búsqueda para obtener algunos resultados.
No timelinks added,No se han añadido enlaces temporales
No translation in,Sin traducción en
No type,Sin tipo
No uploaded images fit the requirements,Ninguna de las imágenes subidas cumple estos requisitos de tamaño. Sube una imagen nueva o utiliza un editor para cambiar el tamaño de un archivo existente.
No user or group found,No se ha encontrado ningún usuario ni grupo
No valid target template available,No hay ninguna plantilla de destino válida disponible
No value,Sin valor
No Value,Sin valor
No visualization data available.,No hay datos de visualización disponibles.
"No, cancel","No, cancelar"
no-toc-description,"Puedes empezar seleccionando texto en el documento y haciendo clic en el botón ""Añadir a TdC""."
Non processed,No procesados
Non-labeled,Sin etiquetar
Non-latin characters support,Soporte de caracteres no latinos
None,Ninguno
Normal view,Vista normal
Not already been use as source template in another extractor,Aún no se ha utilizado como plantilla de origen en otro extractor
Not already been use as target template,Aún no se ha utilizado como plantilla de destino
Not Found,No encontrado
Nothing here yet.,Aún no hay nada aquí.
Nothing selected,Nada seleccionado
Notifications,Notificaciones
Obsolete,Obsoleto
obsolete,obsoleto
OCR,ROC
OCR button tip,Esto procesará el documento para reconocer su texto. El archivo original se agregará como un archivo de soporte.
OCR completed,ROC completado
OCR description tip 1,"Esto habilitará la función de reconocimiento óptico de caracteres (OCR) para documentos PDF. Este servicio reconocerá el texto dentro de las imágenes, como documentos escaneados y fotos, y lo convertirá en datos de texto legibles por máquina."
OCR description tip 2,"Cuando está activado, esto permitirá a los usuarios administradores y editores enviar documentos PDF al servicio OCR."
OCR error,Error ROC
OCR error tip,El motor de OCR no pudo leer el documento debido a un formato incorrecto. Última actualización
OCR PDF,ROC PDF
of,de
Ok,De acuerdo
OK,De acuerdo
On this entity,En esta entidad
one character,un carácter
Only essential,Solo lo imprescindible
"Only properties with the same name and configuration in every data source are available
            for both dimensions.","Solo están disponibles para ambas dimensiones las propiedades que tengan el mismo nombre y la misma configuración en todas las fuentes de datos
."
Only published entities are counted.,Solo se tienen en cuenta las entidades publicadas.
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Solo se pueden seleccionar aquellas plantillas que no se utilicen como fuente en ningún otro extractor y que no estén
seleccionadas como destino en este extractor."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Solo se pueden seleccionar las plantillas que tengan al menos una propiedad de texto enriquecido y una propiedad numérica
."
"Only the extractor will be deleted, all created entities will remain on the library.",Solo se eliminará el extractor; todas las entidades creadas permanecerán en la biblioteca.
Open,Abrir
Open entity,Abrir entidad
Open group,Grupo abierto
Open link,Abrir enlace
Open PDF,Abrir PDF
Open the two-factor Authenticator app on your device,Abre la app Authenticator de tu dispositivo móvil
Options,Opciones
or,o
or drag and drop here,o arrastra y suelta aquí
or drop your files here.,o deposita tus archivos aquí
Or paste a URL,O pega una URL
Order,Orden
Other,Otro
other,Otro
Other users will be affected by this action!,Otros usuarios pueden resultar afectados por ésta acción!
Others,Otros
Outgoing,Saliente
p.,p.
Page,Página
Page not found,Página no encontrada
Page published successfully.,La página se ha publicado correctamente.
Pages,Páginas
Paragrap number extraction property (numeric),Propiedad de extracción del número de párrafo (numérico)
Paragraph,Párrafo
Paragraph Extraction,Extracción de párrafos
Paragraph Extractor added,"Se ha añadido el ""Extractor de párrafos"""
Paragraph text extraction property (rich text),Propiedad de extracción de texto de párrafos (texto con formato)
Paragraphs,Párrafos
Paragraphs deleted,Párrafos eliminados
parties,partes
Password,Contraseña
Password + 2fa,Contraseña + autenticación de dos factores
Password changed success,Contraseña cambiada exitosamente
Password is too long,La contraseña es demasiado larga
Passwords do not match,Las contraseñas no coinciden
Paste an audio or video URL to use it as this property without uploading a file. Press Enter to apply.,Pega una URL de audio o video para usarlo como esta propiedad sin subir un archivo. Pulsa ENTER para aplicar.
Paste an image URL to use it as this property without uploading a file. Press Enter to apply.,Pega una URL de imagen para usarlo como esta propiedad sin subir un archivo. Pulsa ENTER para aplicar.
Paste this tag in a page HTML. The chart uses the page language.,Pega esta etiqueta en el código HTML de una página. El gráfico utiliza el idioma de la página.
Paste URL,Pega la URL
Paste URL here,Pega el URL aquí
PDF,PDF
Pending,Pendiente
People and groups,Personas y grupos
per page,por página
Permission,Permiso
Permission level,Nivel de permiso
Permission on entities explicitly shared with the user,Permiso sobre las entidades compartidas explícitamente con el usuario
Permissions,Permisos
Permissions updated,Se han actualizado los permisos
Pick a color,Elige un color
Pick another,Elige otra
Plain text,Texto sin formato
Please contact an admin for details.,"Por favor, contacta con un administrador para más detalles."
Please type in,Por favor digite
Please type in letters and numbers from the image to start the export.,"Por favor, teclea los caracteres de la imagen para iniciar la exportación."
Pre-filled from your selection. Edit as needed.,Precargado desde la selección. Edita según sea necesario.
Preflight scan completed.,Se ha completado el análisis previo a la importación.
Preparing required relationships.,Preparando las relaciones necesarias.
Preparing required thesauri values.,Preparando los valores necesarios del tesauro.
Preserve,Preservar
Preserve Extension,Extensión Preservar
Preserve Setup Description,"Si conoces el URL y TOKEN de Uwazi, haz click en el enlace a continuación y completa la información requerida."
Press enter to add,Pulsa ENTER para añadir
Preview,Previsualizar
Preview updates automatically (300ms debounce),La vista previa se actualiza automáticamente (retraso de 300 ms)
Preview updates when the JSON is valid.,La vista previa se actualiza cuando el JSON es válido.
Previous,Anterior
Primary,Primario
Primary button,Botón primario
Primary document,Documento primario
Primary Documents,Documentos primarios
Primary documents,Documentos primarios
Priority sorting,Ordenamiento prioritario
Priority sorting description,"Las propiedades marcadas como ordenamiento prioritaria se utilizarán como criterios de ordenamiento predeterminados. Si se marca más de una propiedad como ordenación prioritaria, el sistema intentará elegir la que mejor se ajuste. Al enumerar tipos de plantillas mixtas, el sistema seleccionará el mejor ordenamiento combinado."
Private,Privado
Private entities description,AVISO: Las entidades seleccionadas serán **privadas**. Solo usuarios con permiso podrán visualizarlos.
Process,Procesar
Process extractor,Procesar extractor
Process selected,Procesar selección
Processed,Procesado
Processed rows,Filas procesadas
Processing,Procesando
Progress,Progreso
Properties,Propiedades
Properties from other templates in the collection using the same label,Propiedades de otras plantillas de la colección que utilizan la misma etiqueta.
Properties from other templates in the collection using the same label.,Propiedades de otras plantillas de la colección que utilizan la misma etiqueta.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Las propiedades marcadas como ""ordenación prioritaria"" se utilizarán como criterios de ordenación por defecto. Si hay más de una propiedad marcada como ""ordenación prioritaria"", el sistema intentará seleccionar la que mejor se adapte. Al mostrar una lista con tipos de plantillas mixtos, el sistema seleccionará la mejor combinación de ordenación prioritaria."
Property,Propiedad
Property as filter description,"Esta propiedad se utilizará para filtrar los resultados de la colección. Cuando las propiedades coincidan en el mismo nombre y tipo de campo con otros tipos de entidades, se combinarán para el filtrado."
property date,Fecha
property daterange,Rango de fechas
property generatedid,ID Auto generado
property geolocation,Geolocalización
property image,Imagen
property link,Enlace
property markdown,Texto enriquecido
property media,Medios
property multidate,Fecha múltiple
property multidaterange,Rango de fechas múltiple
property multiselect,Selección múltiple
property numeric,Numérico
property preview,Pre visualización
property relationship,Relación
property select,Selección
property text,Texto
Property type,Tipo de propiedad
Protection,Protección
ProTip!,¡Consejo avanzado!
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.","Proporciona datos listos para gráficos en formato JSON. Cada serie debe incluir un identificador, una etiqueta y un array de puntos con
la etiqueta y el valor en cada fila. Una clave opcional en los puntos ayuda a mantener los colores."
Public entities description,AVISO: Las entidades seleccionadas serán **públicas**. Cualquier persona podrá visualizaras.
Public form settings description,Aquí puedes configurar el destino del formulario público y la lista blanca de plantillas
Public Form submit URL,URL de envío de formulario público
Public form URL description,"Si has configurado un formulario público y deseas que una colección diferente de Uwazi reciba los envíos, ingresa su URL aquí."
Public form whitelist description,"Si deseas incluir formularios públicos en tus páginas, debes incluir en la lista blanca los identificadores de las plantillas para los que se esperan formularios públicos"
Public instance,Instancia pública
Publish,Publicar
Publish release,Publicar versión
Published,Publicado
Published and unpublished entities are counted.,Se contabilizan tanto las entidades publicadas como las no publicadas.
QR Code,Código QR
Query,Consulta
Queued,En cola
RAW,SIN FORMATO
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).","Vuelve a ejecutar la consulta en tu colección actual. Utiliza esta opción después de importar
o editar entidades, pero no al modificar la configuración de los gráficos (la función ""Guardar"" ya se encarga de eso)."
Re-uploaded document,Documento recargado
Ready,Listo
Receiving email,Correo electrónico de recepción
Receiving email description,"Si tienes un formulario de contacto, esta es la dirección de correo electrónico que recibirá los envíos del formulario."
Recommended,Recomendado
Reference,Referencia
References,Referencias
references,referencias
Refresh,Actualización
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.",Actualiza el gráfico manualmente cuando hayas añadido datos y no puedas esperar a la próxima ejecución programada.
Refresh mode,Modo de actualización
Reject,Rechazar
Reject all,Rechazar todo
Related entities created,Entidades relacionadas creadas
Relation type,Tipo de relación
Relationship,Relación
Relationship created,Relación creada
Relationship Type,Tipo de relación
Relationship type,Tipo de relación
Relationship type created successfully.,Tipo de relación creado exitosamente.
Relationship type name,Nombre de tipo de relación
Relationship type name already exists,El nombre de la relación ya existe
Relationship types,Tipos de relación
relationships,relaciones
Relationships,Relaciones
Relationships saved,Relaciones guardadas
relationships? This action cannot be undone.,relactiones? Esta acción no puede revertirse.
RelationType saved,Tipo de Relación guardada
Release message,Mensaje de la versión
Relevance,Relevancia
remaining,restante
remaining files,archivos restantes
Remote Server Unreachable,No se puede acceder al servidor remoto
Remove,Eliminar
Remove from connection,Eliminar de la conexión
Remove from training set,Eliminar del conjunto de entrenamiento
remove icon,eliminar ícono
Remove icon,Eliminar ícono
Removed language,Idioma eliminado
Rename,Renombrar
Renamed attachment,Archivo adjunto eliminado
Repeat Password,Repite la contraseña
Request id #,Solicitar id #
Request token,Solicitud de token
Required,Obligatorio
Required property,Propiedad requerida
Required relationships were prepared.,Se han elaborado las relaciones necesarias.
Required thesauri values were prepared.,Se han elaborado los valores necesarios del tesauro.
Reset,Reiniciar
Reset 2FA,Resetear 2FA
Reset default translation,Resetear traducción predeterminada
Reset language,Restablecer idioma
Reset Password,Restablecer contraseña
Reset passwords,Restablecer contraseñas
Resize panels,Cambiar el tamaño de los paneles
Restore,Restaurar
Restore previous version,Restaurar la versión anterior
Restricted,Restringido
Retryable,Reintentable
Retrying,Reintentando
Return to login,Regresar al inicio de sesión
Review,Revisar
Reviewed,Revisados
Role,Rol
Room around every row,Más espacio alrededor de cada fila
Route,Ruta
Row,Fila
Row density,Densidad de filas
Rows failed,Filas fallidas
Rows processed,Filas procesadas
Sample,Ejemplo
Satellite,Satélite
Save,Guardar
Save & Preview,Guardar & Previsualizar
Save changes,Guardar cambios
Save password,Guardar contraseña
Save the visualization before refreshing.,Guarda la visualización antes de actualizarla.
Save the visualization to get embed code.,Guarda la visualización para obtener el código de incrustación.
Save your work to make change permanent,Guarda tu trabajo para que el cambio sea permanente
Saved successfully.,Guardado exitoso.
Saved with warnings,Guardado con advertencias
Saving,Guardando
Saving...,Guardando...
Scanning,Escaneando
Scanning rows before import.,Analizando las filas antes de la importación.
Schedule,Programación
Schedules run in UTC (Coordinated Universal Time).,Los horarios se indican en UTC (Tiempo Universal Coordinado).
Search,Buscar
"Search  •  AND, OR, NOT, ""exact"", wild*","Buscar  •  AND, OR, NOT, ""exacto"", comodín*"
Search by title,Buscar por título
Search entities...,Buscar entidades...
Search entities…,Buscar entidades…
Search item,Buscar elemento
Search related entities or documents,Buscar entidades o documentos relacionados
Search relationships,Buscar relaciones
Search relevance,Relevancia de la búsqueda
Search text,Buscar texto
Search text description,Escribe algo en la barra de búsqueda para obtener resultados.
Search this document,Buscar en este documento
Search Tips,Consejos de búsqueda
Search tips,Consejos para la búsqueda
Search Tips: boolean,"AND, OR y NOT para búsquedas lógicas. Por ejemplo. ""estado AND mujer NOT Nicaragua"" coincidirá con cualquier cosa que contenga tanto las palabras estado como mujer, y que no contenga la palabra Nicaragua."
Search Tips: exact term,"Coincidencia exacta del término encerrando su cadena de búsqueda entre comillas. Por ejemplo. ""Costa Rica"" arrojará resultados diferentes a los de Costa Rica sin comillas."
Search Tips: one char wildcard,"? para un carácter comodín. Es decir: ""198?"" coincidirá con 1980 a 1989 y también con 198a, 198b, etc."
Search Tips: proximity,"~ para búsquedas de proximidad. Es decir: ""el estado""~5 encontrará cualquier cosa que tenga ""el"" y ""estado"" dentro de una distancia de 5 palabras, como ""el estado procesal"", ""el estado legal específico""."
Search Tips: wildcard,"Utilice un * para la búsqueda con comodines. Es decir: ""juris*"" coincidirá con palabras como jurisdicción, jurisdiccional, juristas, jurisprudencia, etc."
Search title & metadata,Buscar en el título y los metadatos
Searching...,Buscando...
Secondary button,Botón secundario
Secret keys,Claves secretas
Security,Seguridad
Select,Seleccionar
Select & Search,Seleccionar y buscar
"Select a dimension to see supported chart types, or use Metric for a total count.","Selecciona una dimensión para ver los tipos de gráficos compatibles, o utiliza ""Métrica"" para obtener un recuento total."
Select a document to connect to a specific paragraph,Seleccionar un documento para conectar a un párrafo específico
Select a file,Selecciona un archivo
Select all,Seleccionar todo
Select an existing image,Seleccionar una imagen existente
Select favicon image,Seleccionar imagen del favicon
Select files on your device,Seleccionar archivos de tu dispositivo
Select from computer,Seleccionar desde la computadora
Select image,Seleccionar imagen
Select media,Seleccionar media
Select relationship,Seleccionar relación
Select relationship type,Seleccionar tipo de relación
Select site logo image,Seleccionar imagen del logotipo del sitio
Select target document,Seleccionar documento de destino
Select target entity,Seleccionar entidad de destino
Select target paragraph,Seleccionar párrafo de destino
Select text in target document,Seleccionar texto en documento de destino
select text or a value,seleccionar texto o un valor
Select the template to store the extracted paragraphs.,Selecciona la plantilla en la que quieres guardar los párrafos extraídos.
Select the template with the source documents.,Selecciona la plantilla con los documentos originales.
Select...,Seleccionar
Selected,Seleccionado
selected,seleccionado(s)
selected of,seleccionados de
Selected or suggested,Seleccionado o sugerido
Selected templates,Plantillas seleccionadas
Send,Enviar
Send recovery email,Enviar correo electrónico de recuperación
Sending email,Correo electrónico de envío
Sending email description,Esta es la dirección de correo electrónico que aparecerá como remitente cuando se envíe un correo electrónico desde tu colección Uwazi a usuarios registrados. La dirección predeterminada es *no-reply@uwazi.io*. Puedes configurar una dirección personalizada aquí.
Sending labeled data,Enviando datos etiquetados
Series,Serie
Services,Servicios
Set as default,Establecer como predeterminado
Set default language,Establecer idioma predeterminado
Set default template,Establecer plantilla predeterminada
Set the default starting point for your geolocation properties.,Configurar el punto de inicio para la geolocalización
Settings,Configuración
settings,Configuración
Settings navigation active background,Fondo activo de la navegación por los ajustes
Settings sidebar background,Fondo de la barra lateral de configuración
Settings updated,Configuración actualizada
Share,Compartir
Share edit access with other users,Compartir acceso de edición con otros usuarios
Share entities with the public,Compartir entidades públicamente
Share with people and groups,Compartir con personas o grupos
Shared as editor,Compartido como editor
Shared as viewer,Compartido como observador
Show actions,Mostrar acciones
Show cookie policy,Mostrar política de cookies
Show details,Mostrar detalles
Show filters,Mostrar filtros
Show in cards,Mostrar en tarjetas
Show information,Mostrar información
Show less,Mostrar menos
Show more,Mostrar más
Show remaining in panel,Mostrar los elementos restantes en el panel
Show toolbar,Mostrar la barra de herramientas
Showing,Mostrando
Showing the top,Mostrando los principales
shown of,listados de
Sign in,Registrarse
Simple mode,Modo sencillo
Single relationships must have a hub,Las relaciones simples deben tener un nodo
Site logo description,"El logotipo aparece en la barra superior junto al nombre de tu colección (unos 200×32 píxeles).

1. Sube imágenes en Subidas personalizadas si hace falta.
2. Haz clic en ""Seleccionar imagen del logotipo del sitio"" y elige un archivo; solo se listan imágenes de Subidas personalizadas."
Site logo no images hint,"Aún no hay archivos de imagen en Subidas personalizadas. Añade primero imágenes PNG, SVG o JPEG allí."
Size,Tamaño
Skip to main content,Ir al contenido principal
Some tasks may take a while. Bert will reply when it's done.,Algunas tareas pueden tardar un rato. Bert te responderá cuando haya terminado.
Something went wrong,Algo salió mal
Sort,Ordenar
Sort ascending,Orden ascendente
Sort descending,Orden descendiente
Sort:,Ordenar:
sorted by,ordenado por
Source,Fuente
Source entity,Entidad de origen
Source page,Página de origen
Source relationship type,Tipo de relación de origen
Source template,Plantilla de origen
Source Template,Plantilla de origen
Source's role in the relationship Source-Target.,"El papel de la fuente en la relación ""fuente-destino""."
Stage,Etapa
stat*,stat*
State,Estado
Statistics,Estadísticas
Stats & Filters,Estadísticas y filtros
Status,Estado
status AND women NOT Nicaragua,estado AND mujer NOT Nicaragua
Stop filling,detener relleno
Storage,Almacenamiento
Streets,Calles
Strict mode,Modo estricto
Style,Estilo
Submit,Enviar
Submitted entity to a remote instance,Entidad enviada a una instancia remota
Submitting,Enviando
Success,Exito
"Success, Upload another?","Exito, cargar otro?"
Suggestion,Sugerencia
Suggestion:,Sugerencia:
Suggestions,Sugerencias
suggestions,sugerencias
Suggestions sent,Sugerencias enviadas
Suggestions updated,Sugerencias actualizadas
Supported chart types for manual data,Tipos de gráficos compatibles con datos introducidos manualmente
Supported chart types for this configuration,Tipos de gráficos compatibles con esta configuración
Supporting,Soporte
Supporting file,Archivo de soporte
Supporting files,Archivos de soporte
Synced template,Plantilla sincronizada
Synced Template,Plantilla sincronizada
Synced templates cannot be deleted.,Las plantillas sincronizadas no se pueden eliminar.
System translations,Traducciones del sistema
Table,Tabla
Table of Contents,Tabla de Contenidos
Table of contents,Tabla de Contenidos
Table of contents saved successfully,El índice se ha guardado correctamente
Table view,Vista de Tabla
Target entity,Entidad de destino
Target entity type,Tipo de entidad de destino
Target relationship type,Tipo de relación de destino
Target Template,Plantilla de destino
Target template,Plantilla de destino
Target's role in the relationship Source-Target.,"El papel del destino en la relación ""fuente-destino""."
Target:,Destino:
Tasks,Tareas
Template,Plantilla
Template changes are being applied to all related entities.,Se están aplicando los cambios de la plantilla a todas las entidades relacionadas.
Template color,Color de la plantilla
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.","Los colores de la plantilla se aplican al comparar fuentes de datos o cuando la dimensión es de tipo entidad.
En los demás casos, se utiliza la paleta del gráfico como alternativa."
Template conflict,Conflicto de plantilla
Template name,Nombre de plantilla
Template name already exists,El nombre de la plantilla ya existe
Template processing completed.,El procesamiento de la plantilla ha finalizado.
Template saved successfully.,La plantilla se ha guardado correctamente.
Template with a long number of entities,"La plantilla ha cambiado y las entidades asociadas se volverán a indexar, este proceso puede tardar varios minutos, ¿quieres continuar?"
Template(s),Plantilla(s)
Template(s) deleted successfully.,Las plantillas se han eliminado correctamente.
Templates,Plantillas
Templates:,Plantillas:
Text,Texto
Text references limit warning,Las referencias de texto están temporalmente limitadas a un máximo de 300. Actualmente estamos trabajando en una solución para este problema.
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","El proceso de extracción de los párrafos se ha iniciado correctamente. Consulta la columna ""Estado"" para ver las actualizaciones del proceso."
The request could not be processed.,La petición no pudo ser procesada.
The source of this template is a sync.,El origen de esta plantilla es una sincronización.
The token does not validate against the secret key,El token no se valida con la clave secreta
The token does not validate against the secret key!,¡El token no es válido en base a la clave secreta!
"the words together, in that order","las palabras juntas, en ese orden"
the words within 5 of each other,las palabras que estén separadas por 5 o menos
Theme and branding,Tema e imagen de marca
Theme colors,Colores del tema
Theme colors imported,Colores del tema importados
Theme favicon,Favicon del tema
Theme instance file invalid,El archivo de la instancia del tema no es válido
Theme logotype,Logotipo del tema
Theme presets,Preajustes de temas
Theme preview,Vista previa del tema
Then by,Entonces por
There are no pages enabled for entity view,No hay páginas habilitadas para la vista de entidad
There are no untranslated terms,No hay términos sin traducir
Thesauri,Tesauros
Thesauri added.,Se han añadido tesauros.
Thesauri deleted,Se han eliminado los tesauros
Thesauri name,Nombre del Tesauro
thesauri new group desc,descripción de un nuevo grupo del tesauro
thesauri new item desc,descripción de un nuevo elemento del tesauro
Thesauri updated.,Se han actualizado los tesauros.
Thesauri values created,Valores del tesauro creados
Thesaurus,Tesauro
Thesaurus created successfully.,El tesauro se ha creado correctamente.
Thesaurus name,Nombre del tesauro
Thesaurus name already exists,El nombre del tesauro ya existe
Thesaurus saved,Tesauro guardado
This action may take some time while we add the extra language to the entire collection.,Esta acción puede tomar algún tiempo mientras añadimos el idioma a la colección.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Esta área permite Añadir Javascript para personalizar la página. Esto abre un nuevo universo de posibilidades.
This chart type cannot display the current data.,Este tipo de gráfico no puede mostrar los datos actuales.
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.","Este tipo de gráfico no puede mostrar los datos actuales. Elige un tipo compatible en la pestaña
 ""Gráfico""."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.","Este tipo de gráfico no tiene opciones adicionales. Selecciona otro tipo de gráfico en la lista de arriba si necesitas
una leyenda, etiquetas o filtros de datos."
This content is automatically generated,Este contenido se genera automáticamente.
This data visualization name already exists. Enter a unique name.,El nombre de esta visualización de datos ya existe. Introduce un nombre único.
