Key,Russian
Thesauri updated.,Thesauri updated.
Thesaurus,Thesaurus
Thesaurus saved,Предметный указатель сохранен
This action may take some time while we add the extra language to the entire collection.,This action may take some time while we add the extra language to the entire collection.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Эта область позволяет добавить пользовательский JavaScript на страницу. Это откроет большую сферу новых возможностей.
This cannot be changed after saving,This cannot be changed after saving
This content is automatically generated,Этот контент генерируется автоматически
"This entity has no document, you probably want to see the metadata","У этого объекта нет документов, вы наверняка хотите увидеть метаданные"
This entity is not public.,Этот объект не является общедоступным.
This entity is restricted from public view.,Этот объект ограничен для общедоступного просмотра.
This field is required,This field is required
This file type is not supported on image fields,This file type is not supported on image fields
This file type is not supported on media fields,This file type is not supported on media fields
This group is empty,This group is empty
This option will show a notification about the use of cookies in your instance.,Эта опция покажет уведомление об использовании файлов cookie в вашей базе данных.
This property will appear in the library cards as part of the basic info.,Этот объект появится в карточках библиотеки как часть основной информации.
This property will be inherited from the related entities and shown as metadata of this type of entities.,Это свойство будет приобретено от взаимосвязанных объектов и отображаться как метаданные для этого типа объектов.
This property will be shown using all the width available.,Это свойство будет отображаться с использованием всей доступной ширины.
This property will be shown without the label.,Это свойство будет отображаться без метки.
this template,this template
This template has associated entities,This template has associated entities
This template will be used as default for new entities.,Этот шаблон будет использоваться по умолчанию для новых объектов.
This will delete the template and all relationship properties from other templates pointing to this one.,This will delete the template and all relationship properties from other templates pointing to this one.
Threshold,Порог
Time,Время
Timelinks,Timelinks
Timestamp,Timestamp
Title,Заголовок
To,To
"To bring you a better experience, this site uses cookies.","Этот сайт использует файлы cookie для того, чтобы улучшить ваш опыт взаимодействия с сайтом."
"To complete the account creation process, please create a password for your account","Пожалуйста, создайте пароль для того, чтобы завершить процесс создания своей учетной записи."
to learn how to add and configure a contact form on a webpage.,to learn how to add and configure a contact form on a webpage.
to learn more about the components.,"для того, чтобы узнать больше о компонентах."
to view your authentication code and verify your identity.,чтобы просмотреть свой код аутентификации и подтвердить свою личность.
Today,Today
Tools,Инструменты
total entities,total entities
Total files,Total files
total files,total files
"Total files from main documents, supporting files and uploads","Total files from main documents, supporting files and uploads"
total users,total users
Training,Training
Training model...,Training model...
Translate,Перевести
Translations,Переводы
Translations imported.,Translations imported.
Translations reset successfully,Translations reset successfully
Translations saved,Переводы сохранены
Try selecting other documents.,Попробуйте выбрать другие документы.
Turn off inline translation,Turn off inline translation
Two-Factor Authentication,Two-Factor Authentication
Two-factor authentication enabled,Two-factor authentication enabled
Two-factor authentication failed.,Two-factor authentication failed.
Two-factor authentication secret,Two-factor authentication secret
Two-factor verification failed,Двухфакторная верификация не удалась.
Two-step verification,Двухфакторная верификация
Two-step verification token required,Two-step verification token required
Type,Тип
Unexpected error,Unexpected error
Uninstall,Uninstall
Uninstall language,Uninstall language
Unlink,Unlink
Unlock account,Unlock account
Unsupported OCR language,Неподдерживаемый язык оптического распознавания символов
Untranslated Terms,Untranslated Terms
Update,Обновить
UPDATE,Обновить
Update success,Update success
Updated,Updated
Updated file,Updated file
Updated multiple entities,Updated multiple entities
Updated permissions on entity,Updated permissions on entity
Updated relationships,Updated relationships
Updated settings,Updated settings
Updated translations,Updated translations
Updated user,Updated user
Upload a ZIP or CSV file.,Загрузить ZIP или CSV file.
Upload and select file,Загрузить и выбрать файл
Upload from computer,Загрузить с компьютера
Upload PDF,Загрузить PDF
Upload PDF(s) to create,"Загрузить PDF, чтобы создать"
Uploaded attachment,Uploaded attachment
Uploaded custom file,Uploaded custom file
Uploaded document,Uploaded document
Uploaded file,Uploaded file
Uploading,Идет загрузка
Uploading ...,Загрузка...
Uploading file,Загрузка файла
Uploads,Загрузки
URL,URL
Use,Использовать
Use as filter,Use as filter
User,Пользователь
User Action,User Action
User Role,User Role
User updated,User updated
Username,Имя пользователя
Username is required,Требуется имя пользователя
Username is too long,Имя пользователя слишком длинное
Username is too short,Имя пользователя слишком короткое
Usernames cannot have spaces,Usernames cannot have spaces
Users,Пользователи
Users & Groups,Users & Groups
Using Authenticator,Using Authenticator
Using URLs,Using URLs
Uwazi is developed by,Uwazi разработан
Uwazi UI,Uwazi UI
Value,Value
Value cannot be transformed to the correct type,Value cannot be transformed to the correct type
values,values
Verify,Верифицировать
Verifying...,Верифицирование...
View,Просмотреть
view,Просмотреть
View entities,View entities
View in library,Просмотреть в библиотеке
View less,View less
View more,View more
View page,Просмотр страницы
WARNING,WARNING
Warning: you are editing multiple entities. Fields marked with a,"Предупреждения: вы редактируете несколько объектов. Поля, отмеченные"
We can't find the page you're looking for.,We can't find the page you're looking for.
Welcome to Uwazi,Добро пожаловать в Uwazi
"Well, this is awkward...","Что ж, это неловко..."
will be updated with the same value.,будет обновляться с тем же значением
with,с
With great power comes great responsibility!,С большой силой приходит большая ответственность!
With suggestion,With suggestion
x less,x меньше
x more,х больше
Year,Год
Yes,Yes
You can add one or many items in this form.,You can add one or many items in this form.
"You can also embed advanced components like maps, charts and entity lists in your page.","Вы также можете встроить такие продвинутые компоненты как карты, графики и списки объектов на вашей странице."
You can also enter this secret key into your Authenticator app.,You can also enter this secret key into your Authenticator app.
You can create metadata templates in,Вы можете создавать шаблоны метаданных в
"You have not connected an Uwazi instance, yet","You have not connected an Uwazi instance, yet"
You have unsaved changes. Do you want to continue?,You have unsaved changes. Do you want to continue?
You should activate this feature for enhanced account security,Вам следует активировать эту функцию для усиления безопасности аккаунта
You should activate this feature for enhanced account security.,You should activate this feature for enhanced account security.
Your account's security is enhanced with two-factor authentication.,Your account's security is enhanced with two-factor authentication.
Zoom in,Увеличить масштаб
Zoom in library view,Увеличить масштаб просмотра библиотеки
Zoom out,Уменьшить масштаб
Zoom out library view,Уменьшить масштаб просмотра библиотеки
