Key,French
Select the template to store the extracted paragraphs.,Select the template to store the extracted paragraphs.
Select the template with the source documents.,Select the template with the source documents.
Select...,Sélectionner...
Selected,Selected
selected,Sélectionné
selected of,sélectionné sur
Selected or suggested,Selected or suggested
Selected templates,Selected templates
Send,Envoyer
Send recovery email,Envoyer mail de récupération
Sending email,Envoi d'e-mail
Sending email description,This is the email address that will appear as the sender when an email is sent from your Uwazi collection to registered users. The default address is *no-reply@uwazi.io*. You can set a custom one by including your desired email address here.
Sending labeled data,Sending labeled data
Services,Services
Set as default,Définir par défaut
Set default language,Set default language
Set default template,Set default template
Set the default starting point for your geolocation properties.,Définissez le point de départ par défaut pour vos propriétés de géolocalisation.
Settings,Paramètres
settings,Paramètres
Settings updated,Paramètres mis à jour
Share,Partager
Share edit access with other users,Share edit access with other users
Share entities with the public,Share entities with the public
Share with people and groups,Partager avec des personnes et des groupes
Shared as editor,Partagé en tant qu'éditeur
Shared as viewer,Partagé en tant que visualisateur
Show actions,Show actions
Show cookie policy,Afficher la politique en matière de cookies
Show filters,Afficher les filtres
Show in cards,Afficher sur les cartes
Show more,Afficher plus
Show toolbar,Show toolbar
Showing,Showing
shown of,Listé sur un total de
Sign in,S'identifier
Single relationships must have a hub,Single relationships must have a hub
Site logo description,"Le logo apparaît dans la barre supérieure à côté du nom de votre collection (environ 200×32 pixels).

1. Téléchargez des images dans Téléchargements personnalisés si nécessaire.
2. Cliquez sur ""Sélectionner l'image du logo du site"" et choisissez un fichier ; seules les images des Téléchargements personnalisés sont listées."
Site logo no images hint,"Aucun fichier image dans Téléchargements personnalisés pour l'instant. Ajoutez d'abord des images PNG, SVG ou JPEG."
Size,Taille
Skip to main content,Skip to main content
Something went wrong,Quelque chose a mal tourné
Sort,Trier
Sort ascending,Sort ascending
Sort by,Trier par
Sort descending,Sort descending
sorted by,Trié par
Source,Source
Source relationship type,Source relationship type
Source template,Source template
Source Template,Source Template
Source's role in the relationship Source-Target.,Source's role in the relationship Source-Target.
Stage,Stage
State,State
Statistics,Statistics
Stats & Filters,Stats & Filters
Status,Status
Storage,Storage
Streets,Streets
Strict mode,Mode strict
Style,Style
Submit,Soumettre
Submitted entity to a remote instance,Submitted entity to a remote instance
Submitting,Submitting
Success,Success
"Success, Upload another?","Success, Upload another?"
Suggestion,Suggestion
Suggestion:,Suggestion:
Suggestions,Suggestions
suggestions,suggestions
Suggestions sent,Suggestions sent
Suggestions updated,Suggestions updated
Supporting files,Fichiers de support
Synced template,Synced template
Synced Template,Synced Template
Synced templates cannot be deleted.,Synced templates cannot be deleted.
syntax to create page content,Syntaxe pour créer du contenu sur une page
System translations,System translations
Table,Tableau
Table of Contents,Table des matières
Table of contents,Table des matières
Table of contents saved successfully,Table of contents saved successfully
Table view,Vue tabulaire
Target relationship type,Target relationship type
Target Template,Target Template
Target template,Target template
Target's role in the relationship Source-Target.,Target's role in the relationship Source-Target.
Tasks,Tasks
Template,Modèle
Template changes are being applied to all related entities.,Template changes are being applied to all related entities.
Template color,Template color
Template conflict,Template conflict
Template name,Template name
Template name already exists,Template name already exists
Template processing completed.,Template processing completed.
Template saved successfully.,Template saved successfully.
Template with a long number of entities,"The template has changed and the associated entities will be re-indexed,
       this process may take several minutes, do you want to continue?"
Template(s),Template(s)
Template(s) deleted successfully.,Template(s) deleted successfully.
Templates,Modèles
Templates:,Templates:
Text,Texte
Text references limit warning,Text references are temporarily limited to a maximum of 300. We are currently working on a fix for this issue.
The import process threw an error:,Le processus d'importation a généré une erreur :
The import process threw some warnings:,The import process threw some warnings:
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process."
The request could not be processed.,The request could not be processed.
The source of this template is a sync.,The source of this template is a sync.
The token does not validate against the secret key,The token does not validate against the secret key
The token does not validate against the secret key!,The token does not validate against the secret key!
Theme and branding,Theme and branding
Theme favicon,Theme favicon
Theme logotype,Theme logotype
Theme presets,Theme presets
Theme preview,Theme preview
There are no pages enabled for entity view,Il n'y a pas de pages activées pour la visualisation des entités
There are no untranslated terms,There are no untranslated terms
Thesauri,Thesauri
Thesauri added.,Thesauri added.
Thesauri deleted,Thesauri deleted
Thesauri name,Thesauri name
thesauri new group desc,thesauri new group desc
thesauri new item desc,thesauri new item desc
Thesauri updated.,Thesauri updated.
Thesauri values created,Thesauri values created
Thesaurus,Thesaurus
Thesaurus created successfully.,Thesaurus created successfully.
Thesaurus name,Thesaurus name
Thesaurus name already exists,Thesaurus name already exists
Thesaurus saved,Thesaurus sauvegardé
This action may take some time while we add the extra language to the entire collection.,This action may take some time while we add the extra language to the entire collection.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Cette zone vous permet d'ajouter du Javascript personnalisé à la page. Cela ouvre un nouvel univers de possibilités.
This content is automatically generated,Ce contenu est généré automatiquement
"This entity has no document, you probably want to see the metadata","Cette entité n'a pas de document, vous voulez probablement voir les métadonnées."
This entity is restricted from public view.,Cette entité n'est pas accessible au public.
This field is required,This field is required
This file could not be displayed. Try refreshing the page.,This file could not be displayed. Try refreshing the page.
This file could not be opened. It may be corrupted or not a valid PDF.,This file could not be opened. It may be corrupted or not a valid PDF.
This file is no longer available.,This file is no longer available.
This file type is not supported on media fields,This file type is not supported on media fields
This group is empty,This group is empty
This import is waiting in queue.,This import is waiting in queue.
This label already exists in this template,This label already exists in this template
This option will show a notification about the use of cookies in your instance.,Cette option affichera une notification sur l'utilisation des cookies dans votre instance.
This property can not be deleted,This property can not be deleted
This property will appear in the library cards as part of the basic info.,Cette propriété apparaîtra dans les cartes de bibliothèque comme faisant partie des informations de base.
This property will be shown using all the width available.,Cette propriété sera affichée en utilisant toute la largeur disponible.
This property will be shown without the label,This property will be shown without the label
This property will be the default filter in the library for this template.,This property will be the default filter in the library for this template.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
This table of contents was automatically created by the system.,This table of contents was automatically created by the system.
this template,this template
This template is in use by existing entities and cannot be deleted.,This template is in use by existing entities and cannot be deleted.
Time,Temps
Timelinks,Timelinks
Timestamp,Timestamp
Title,Titre
To,To
To add references you can start by selecting text in the document,To add references you can start by selecting text in the document
"To bring you a better experience, this site uses cookies.","Pour vous apporter une meilleure expérience, ce site utilise des cookies."
"To complete the account creation process, please create a password for your account","Pour compléter le processus de création de compte, veuillez créer un mot de passe pour votre compte."
to learn how to add and configure a contact form on a webpage.,to learn how to add and configure a contact form on a webpage.
to learn more about the components.,Pour en savoir plus sur les composants.
to view your authentication code and verify your identity.,Pour afficher votre code d'authentification et vérifier votre identité.
Today,Today
Tools,Outils
total entities,total entities
Total files,Total files
total files,total files
"Total files from main documents, supporting files and uploads","Total files from main documents, supporting files and uploads"
Total imports,Total imports
total users,total users
Train,Train
Train model,Train model
Train model description,Training machine learning models may take from minutes up to a couple of hours depending on the amount of labeled data and the difficulty of the task.
Training,Training
Training model,Training model
Training sample,Training sample
Translate,Traduire
Translation,Translation
Translations,Traductions
Translations imported.,Translations imported.
Translations reset successfully,Translations reset successfully
Translations saved,Traductions sauvegardées
Try adjusting your search terms or check for typos,Try adjusting your search terms or check for typos
Turn off inline translation,Turn off inline translation
Two-Factor Authentication,Two-Factor Authentication
Two-factor authentication enabled,Two-factor authentication enabled
Two-factor authentication failed.,Two-factor authentication failed.
Two-factor authentication secret,Two-factor authentication secret
Two-factor verification failed,Échec de la vérification à deux facteurs
Two-step verification,Vérification en deux étapes
Two-step verification token required,Two-step verification token required
Type,Type
U,U
"Unable to save, failed response","Unable to save, failed response"
Unauthorized,Non autorisé
Unexpected error,Unexpected error
Uninstall,Uninstall
Uninstall language,Uninstall language
Uninstalling language,Uninstalling language
Unlink,Unlink
Unlock account,Unlock account
Unsupported OCR language,Langage OCR non supporté
Untranslated Terms,Untranslated Terms
Update,Mettre à jour
UPDATE,Mettre à jour
Update success,Update success
Updated,Updated
Updated file,Updated file
Updated multiple entities,Updated multiple entities
Updated permissions on entity,Updated permissions on entity
Updated relationships,Updated relationships
Updated settings,Updated settings
Updated translations,Updated translations
Updated user,Updated user
Updating template properties across,Updating template properties across
Upload a new image,Upload a new image
Upload a ZIP or CSV file.,Téléchargez un fichier ZIP ou CSV.
Upload and select file,Télécharger et sélectionner le fichier
Upload from computer,Télécharger à partir de l'ordinateur
Upload image,Upload image
Upload PDF,Télécharger le PDF
Upload PDF(s) to create,Télécharger le(s) PDF à créer
Uploaded attachment,Uploaded attachment
Uploaded custom file,Uploaded custom file
Uploaded document,Uploaded document
Uploaded file,Uploaded file
Uploading,Chargement
Uploading ...,Transfert en cours ...
Uploading file,Transférer un fichier
Uploads,Fichiers Mis en ligne
URL,URL
Use,Utilisez
Use as filter,Use as filter
Use for training,Use for training
User,Utilisateur
User Action,User Action
User Role,User Role
User updated,User updated
Username,Nom d'utilisateur
Username is required,Le nom d'utilisateur est requis
Username is too long,Le nom d'utilisateur est trop long
Username is too short,Le nom d'utilisateur est trop court
Usernames cannot have spaces,Usernames cannot have spaces
Users,Utilisateurs
Users & Groups,Users & Groups
Using Authenticator,Using Authenticator
Using URLs,Using URLs
Uwazi,Uwazi
Uwazi is developed by,Uwazi est développé par
Uwazi UI,Interface utilisateur d'Uwazi
Validating,Validating
Validating file structure and headers.,Validating file structure and headers.
Value,Value
Value cannot be transformed to the correct type,Value cannot be transformed to the correct type
values,values
Verify,Vérifier
Verifying...,En cours de vérification...
View,Vue
view,Vue
View entities,View entities
View entity,View entity
View in library,Voir dans la bibliothèque
View page,Voir page
WARNING,WARNING
Warning: you are editing multiple entities. Fields marked with a,Attention : vous êtes en train de modifier plusieurs entités. Les champs marqués d'un
We can't find the page you're looking for.,We can't find the page you're looking for.
Welcome to Uwazi,Bienvenue à Uwazi
"Well, this is awkward...","Eh bien, c'est gênant..."
Whitelisted templates,Whitelisted templates
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur."
will be updated with the same value.,sera mis à jour avec la même valeur.
Will show the entire media inside the container.,Will show the entire media inside the container.
with,avec
With great power comes great responsibility!,De grands pouvoirs impliquent de grandes responsabilités !
x less,x en moins
x more,x en plus
Year,Année
Yes,Oui
You can add one or many items in this form.,You can add one or many items in this form.
"You can also embed advanced components like maps, charts and entity lists in your page.","Vous pouvez également intégrer des composants avancés tels que des cartes, des graphiques et des listes d'entités dans votre page."
You can also enter this secret key into your Authenticator app.,You can also enter this secret key into your Authenticator app.
You can create metadata templates in,Vous pouvez créer des modèles de métadonnées dans
"You can start by selecting text in the document and clicking the ""Add to ToC""
                  button.","You can start by selecting text in the document and clicking the ""Add to ToC""
                  button."
You have unsaved changes. Do you want to continue?,You have unsaved changes. Do you want to continue?
You should activate this feature for enhanced account security,Vous devriez activer cette fonction pour renforcer la sécurité du compte
You should activate this feature for enhanced account security.,You should activate this feature for enhanced account security.
You won't be able to save an entity if this property is empty.,You won't be able to save an entity if this property is empty.
Your account's security is enhanced with two-factor authentication.,Your account's security is enhanced with two-factor authentication.
Zoom in,Zoom avant
Zoom in library view,Zoom avant sur la vue de la bibliothèque
Zoom out,Zoom arrière
Zoom out library view,Zoom arrière sur la vue de la bibliothèque
