Key,Korean
Permission on entities explicitly shared with the user,특정 사용자에게 엔티티 접근 허가
Permissions,권한
Permissions updated,Permissions updated
Pick a color,Pick a color
Plain text,일반 텍스트
Please contact an admin for details.,자세한 내용은 관리자에게 문의하십시오.
Please type in,Please type in
Please type in letters and numbers from the image to start the export.,이미지에 있는 문자와 숫자를 입력해 추출을 시작하십시오.
Pre-filled from your selection. Edit as needed.,Pre-filled from your selection. Edit as needed.
Preflight scan completed.,Preflight scan completed.
Preparing required relationships.,Preparing required relationships.
Preparing required thesauri values.,Preparing required thesauri values.
Preserve,Preserve
Preserve Extension,Preserve Extension
Preserve Setup Description,"If you know your Uwazi URL and TOKEN click the link below, and fill the required information."
Press enter to add,Enter 키를 눌러 추가
Preview,미리보기
Preview entity,Preview entity
Preview updates automatically (300ms debounce),Preview updates automatically (300ms debounce)
Preview updates when the JSON is valid.,Preview updates when the JSON is valid.
Previous,이전
Primary button,Primary button
Primary document,Primary document
Primary Documents,기본 문서
Priority sorting,우선순위 정렬
Priority sorting description,"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Private,Private
Private entities description,Caution: the selected entities will be **private**. Only allowed users will be able to see them.
Private instance,비공개 인스턴스
Process,Process
Process extractor,Process extractor
Process selected,Process selected
Processed,Processed
Processed rows,Processed rows
Processing,처리 중
Progress,Progress
Properties,속성
Properties from other templates in the collection using the same label,이 컬렉션 내 다른 템플릿의 속성이 동일한 라벨을 사용하고 있습니다.
Properties from other templates in the collection using the same label.,Properties from other templates in the collection using the same label.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Property,Property
Property as filter description,"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
property date,Date
property daterange,Date range
property generatedid,Generated ID
property geolocation,Geolocation
property image,Image
property link,Link
property markdown,Rich text
property media,Media
property multidate,Multiple date
property multidaterange,Multiple date range
property multiselect,Multiple select
property numeric,Numeric
property preview,Preview
property relationship,Relationship
property select,Select
property text,Text
Property type,Property type
Protection,보호
ProTip!,프로 팁
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.","Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors."
Public entities description,Caution: the selected entities will be **public**. Anyone will be able to see them.
Public form settings description,Here you can configure the public form destination and the whitelisted templates
Public Form submit URL,Public Form submit URL
Public form URL description,"If you have configured a public form and would like a different Uwazi collection to receive the submissions, enter its URL here."
Public form whitelist description,"If you wish to include Public Forms on your pages, you must white-list the template IDs for which Public Forms are expected."
Public instance,Public instance
Publish,게시
Publish release,Publish release
Published,공개 게시물
QR Code,QR Code
Query,검사
Queued,Queued
RAW,RAW
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).","Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that)."
Re-uploaded document,Re-uploaded document
Receiving email,수신 이메일 주소
Receiving email description,"If you have a contact form, this is the email address that will receive the form's submissions."
Recommended,Recommended
Reference,Reference
References,참고문헌
references,references
References in document,References in document
Refresh,Refresh
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.","Refresh manually when you have added data and cannot wait for the next
                        scheduled run."
Refresh mode,Refresh mode
Reject,거부
Related entities created,Related entities created
Relation type,Relation type
Relationship,연결
Relationship created,Relationship created
Relationship Type,Relationship Type
Relationship type,Relationship type
Relationship type created successfully.,Relationship type created successfully.
Relationship type name,Relationship type name
Relationship type name already exists,Relationship type name already exists
Relationship types,연결 유형
relationships,연결
Relationships,연결
Relationships saved,Relationships saved
relationships? This action cannot be undone.,relationships? This action cannot be undone.
RelationType saved,연결 유형 저장 완료
Release message,Release message
remaining files,remaining files
Remote Server Unreachable,Remote Server Unreachable
Remove,제거
Remove from connection,Remove from connection
Remove from training set,Remove from training set
remove icon,아이콘 제거
Removed language,Removed language
Rename,이름 재설정
Renamed attachment,Renamed attachment
Repeat Password,암호를 재입력하십시오.
Request id #,아이디 요청 #
Request token,Request token
Required,Required
Required property,필수 속성
Required relationships were prepared.,Required relationships were prepared.
Required thesauri values were prepared.,Required thesauri values were prepared.
Reset,초기화
Reset 2FA,이중 인증 절차 재설정
Reset default translation,Reset default translation
Reset language,Reset language
Reset Password,암호 재설정
Reset passwords,Reset passwords
Resize panels,Resize panels
Restore,Restore
Restore previous version,Restore previous version
Restricted,비공개 게시물
Retryable,Retryable
Retrying,Retrying
Return to login,로그인으로 돌아가기
Review,Review
Reviewed,검토 완료
Role,권한
Route,루트
Row,Row
Row density,Row density
Rows failed,Rows failed
Rows processed,Rows processed
Sample,샘플
Satellite,Satellite
Save,저장
Save & Preview,Save & Preview
Save changes,변경사항 저장
Save password,암호 저장
Save the visualization before refreshing.,Save the visualization before refreshing.
Save the visualization to get embed code.,Save the visualization to get embed code.
Save your work to make change permanent,Save your work to make change permanent
Saved successfully.,Saved successfully.
Saved with warnings,Saved with warnings
Saving,Saving
Saving...,Saving...
Scanning,Scanning
Scanning rows before import.,Scanning rows before import.
Schedule,Schedule
Schedules run in UTC (Coordinated Universal Time).,Schedules run in UTC (Coordinated Universal Time).
Search,검색
"Search  •  AND, OR, NOT, ""exact"", wild*","Search  •  AND, OR, NOT, ""exact"", wild*"
Search entities...,Search entities...
Search entities…,Search entities…
Search item,아이템 검색
Search related entities or documents,연결된 엔티티 및 문서 검색
Search relationships,Search relationships
Search relevance,관련성 검색
Search text,텍스트 검색
Search text description,Type something in the search box to get some results.
Search Tips,검색 팁
Search tips,Search tips
Search Tips: boolean,검색 팁: 연산자
Search Tips: exact term,검색 팁: 정확한 용어
Search Tips: one char wildcard,검색 팁: one char wildcard
Search Tips: proximity,검색 팁: 근접성
Search Tips: wildcard,검색 팁: wildcard
Searching...,Searching...
Secondary button,Secondary button
Secret keys,Secret keys
Security,Security
Select,Select
Select & Search,Select & Search
"Select a dimension to see supported chart types, or use Metric for a total count.","Select a dimension to see supported chart types, or use Metric for a total count."
Select a document to connect to a specific paragraph,Select a document to connect to a specific paragraph
Select a file,Select a file
Select all,전체 선택
Select an existing image,Select an existing image
Select favicon image,Select favicon image
Select files on your device,기기에서 파일을 선택하십시오.
Select from computer,Select from computer
Select relationship,Select relationship
Select relationship type,연결 유형 선택
Select site logo image,Select site logo image
Select target document,Select target document
Select target entity,Select target entity
Select target paragraph,대상 단락 선택
Select text in target document,Select text in target document
Select the template to store the extracted paragraphs.,Select the template to store the extracted paragraphs.
Select the template with the source documents.,Select the template with the source documents.
Select...,선택
Selected,Selected
selected,선택 완료
selected of,~ 중 선택됨
Selected or suggested,Selected or suggested
Selected templates,Selected templates
Send,전송
Send recovery email,복구 이메일 전송
Sending email,발신 이메일 주소
Sending email description,This is the email address that will appear as the sender when an email is sent from your Uwazi collection to registered users. The default address is *no-reply@uwazi.io*. You can set a custom one by including your desired email address here.
Sending labeled data,Sending labeled data
Series,Series
Services,Services
Set as default,기본으로 설정
Set default language,Set default language
Set default template,Set default template
Set the default starting point for your geolocation properties.,지리정보 속성을 위해 기본 시작점을 설정하십시오.
Settings,설정
settings,설정
Settings navigation active background,Settings navigation active background
Settings sidebar background,Settings sidebar background
Settings updated,설정 업데이트 완료
Share,공유
Share edit access with other users,Share edit access with other users
Share entities with the public,Share entities with the public
Share with people and groups,사용자 및 그룹과 공유
Shared as editor,편집자로 공유
Shared as viewer,뷰어로 공유
Show actions,Show actions
Show cookie policy,쿠키 정책 보기
Show details,Show details
Show filters,필터 보기
Show in cards,카드에 표시하기
Show less,Show less
Show more,자세히 보기
Show remaining in panel,Show remaining in panel
Show toolbar,Show toolbar
Showing,Showing
shown of,/
Sign in,로그인
Simple mode,Simple mode
Single relationships must have a hub,Single relationships must have a hub
Site logo description,"The logo appears in the top bar next to your collection name (about 200×32 pixels).

1. Upload images in Custom Uploads if needed.
2. Click ""Select site logo image"" and pick a file; only images from Custom Uploads are listed."
Site logo no images hint,"No image files from Custom Uploads yet. Add PNG, SVG, or JPEG images there first."
Size,크기
Skip to main content,Skip to main content
Some tasks may take a while. Bert will reply when it's done.,Some tasks may take a while. Bert will reply when it's done.
Something went wrong,오류
Sort,분류하기
Sort ascending,Sort ascending
Sort by,정렬 기준
Sort descending,Sort descending
Sort order,Sort order
Sort:,Sort:
sorted by,정렬 기준
Source,Source
Source entity,Source entity
Source page,Source page
Source relationship type,Source relationship type
Source template,Source template
Source Template,Source Template
Source's role in the relationship Source-Target.,Source's role in the relationship Source-Target.
Stage,Stage
stat*,stat*
State,State
Statistics,Statistics
Stats & Filters,Stats & Filters
Status,Status
Storage,Storage
Streets,Streets
Strict mode,제한 모드
Style,스타일
Submit,제출
Submitted entity to a remote instance,Submitted entity to a remote instance
Submitting,Submitting
Success,Success
"Success, Upload another?","Success, Upload another?"
Suggestion,Suggestion
Suggestion:,Suggestion:
Suggestions,자동 제안
suggestions,suggestions
Suggestions sent,Suggestions sent
Suggestions updated,Suggestions updated
Supported chart types for manual data,Supported chart types for manual data
Supported chart types for this configuration,Supported chart types for this configuration
Supporting file,Supporting file
Supporting files,추가 파일
Synced template,Synced template
Synced Template,Synced Template
Synced templates cannot be deleted.,Synced templates cannot be deleted.
System translations,System translations
Table,테이블
Table of Contents,목차
Table of contents,목차
Table of contents saved successfully,Table of contents saved successfully
Table view,테이블 뷰
Target entity,Target entity
Target entity type,Target entity type
Target relationship type,Target relationship type
Target Template,Target Template
Target template,Target template
Target's role in the relationship Source-Target.,Target's role in the relationship Source-Target.
Target:,Target:
Tasks,Tasks
Template,템플릿
Template changes are being applied to all related entities.,Template changes are being applied to all related entities.
Template color,Template color
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.","Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback."
Template conflict,Template conflict
Template name,Template name
Template name already exists,Template name already exists
Template processing completed.,Template processing completed.
Template saved successfully.,Template saved successfully.
Template with a long number of entities,"The template has changed and the associated entities will be re-indexed,
       this process may take several minutes, do you want to continue?"
Template(s),Template(s)
Template(s) deleted successfully.,Template(s) deleted successfully.
Templates,템플릿
Templates:,Templates:
Text,텍스트
Text references limit warning,Text references are temporarily limited to a maximum of 300. We are currently working on a fix for this issue.
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process."
The request could not be processed.,The request could not be processed.
The source of this template is a sync.,The source of this template is a sync.
The token does not validate against the secret key,The token does not validate against the secret key
The token does not validate against the secret key!,The token does not validate against the secret key!
Theme and branding,Theme and branding
Theme colors,Theme colors
Theme colors imported,Theme colors imported
Theme favicon,Theme favicon
Theme instance file invalid,Theme instance file invalid
Theme logotype,Theme logotype
Theme presets,Theme presets
Theme preview,Theme preview
Then by:,Then by:
There are no pages enabled for entity view,엔티티 뷰가 활성화된 페이지가 없습니다.
There are no untranslated terms,There are no untranslated terms
Thesauri,시소러스
Thesauri added.,Thesauri added.
Thesauri deleted,Thesauri deleted
Thesauri name,Thesauri name
thesauri new group desc,thesauri new group desc
thesauri new item desc,thesauri new item desc
Thesauri updated.,Thesauri updated.
Thesauri values created,Thesauri values created
Thesaurus,Thesaurus
Thesaurus created successfully.,Thesaurus created successfully.
Thesaurus name,Thesaurus name
Thesaurus name already exists,Thesaurus name already exists
Thesaurus saved,시소러스 저장 완료
This action may take some time while we add the extra language to the entire collection.,This action may take some time while we add the extra language to the entire collection.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,이 영역에 사용자 맞춤 자바스크립트를 추가할 수 있습니다.
This chart type cannot display the current data.,This chart type cannot display the current data.
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.","This chart type cannot display the current data. Pick a supported type in the Chart
              tab."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.","This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters."
This content is automatically generated,콘텐츠가 자동으로 생성되었습니다.
"This entity has no document, you probably want to see the metadata",이 엔티티에는 문서가 없습니다. 메타데이터를 확인하십시오.
This entity is restricted from public view.,이 엔티티는 공개 모드에서 제한됩니다.
This field is required,This field is required
This file could not be displayed. Try refreshing the page.,This file could not be displayed. Try refreshing the page.
This file could not be opened. It may be corrupted or not a valid PDF.,This file could not be opened. It may be corrupted or not a valid PDF.
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","This file is currently unavailable. Please contact your administrator if the issue
                  persists."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","This file is currently unavailable. Please contact your administrator if the issue
              persists."
This file type is not supported on media fields,This file type is not supported on media fields
This group is empty,This group is empty
This import is waiting in queue.,This import is waiting in queue.
This label already exists in this template,This label already exists in this template
This option will show a notification about the use of cookies in your instance.,인스턴스 내 쿠키 사용 알림이 필요할 경우 이 옵션을 선택하십시오.
This page does not need Markdown,This page does not need Markdown
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.","This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components."
This property can not be deleted,This property can not be deleted
This property will appear in the library cards as part of the basic info.,이 속성은 카드의 기본 정보에 포함되며 라이브러리에서 볼 수 있습니다.
This property will be shown using all the width available.,디스플레이 가능한 너비 내에서 이 속성을 표시합니다.
This property will be shown without the label,This property will be shown without the label
This property will be the default filter in the library for this template.,This property will be the default filter in the library for this template.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
This search could not be completed. Try again later.,This search could not be completed. Try again later.
This table of contents was automatically created by the system.,This table of contents was automatically created by the system.
this template,this template
This template is in use by existing entities and cannot be deleted.,This template is in use by existing entities and cannot be deleted.
Time,시간
Time (UTC),Time (UTC)
Timelinks,Timelinks
Timestamp,Timestamp
Title,제목
To,To
To add references you can start by selecting text in the document,To add references you can start by selecting text in the document
"To bring you a better experience, this site uses cookies.",이 사이트는 사용자 편의를 위해 쿠키를 사용합니다.
"To complete the account creation process, please create a password for your account",계정 생성을 마치려면 계정 비밀번호를 설정하십시오.
to learn how to add and configure a contact form on a webpage.,to learn how to add and configure a contact form on a webpage.
to learn more about the components.,구성 요소에 대해 더 자세히 알기
to view your authentication code and verify your identity.,코드 확인하고 인증하기
Today,Today
Toggle timeline mode,Toggle timeline mode
Tools,도구
total entities,total entities
Total files,Total files
total files,total files
"Total files from main documents, supporting files and uploads","Total files from main documents, supporting files and uploads"
Total imports,Total imports
total users,total users
Train,Train
Train model,Train model
Train model description,Training machine learning models may take from minutes up to a couple of hours depending on the amount of labeled data and the difficulty of the task.
Training,Training
Training model,Training model
Training sample,Training sample
Translate,번역
Translation,Translation
Translations,번역
Translations imported.,Translations imported.
Translations reset successfully,Translations reset successfully
Translations saved,번역 저장 완료
Turn off inline translation,Turn off inline translation
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).","Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown)."
Two-Factor Authentication,Two-Factor Authentication
Two-factor authentication enabled,Two-factor authentication enabled
Two-factor authentication failed.,Two-factor authentication failed.
Two-factor authentication secret,Two-factor authentication secret
Two-factor verification failed,이중 인증 절차 실패
Two-step verification,이중 인증
Two-step verification token required,Two-step verification token required
Type,유형
U,U
"Unable to save, failed response","Unable to save, failed response"
Unauthorized,권한 없음
Unexpected error,Unexpected error
Uninstall,Uninstall
Uninstall language,Uninstall language
Uninstalling language,Uninstalling language
Unknown entity,Unknown entity
Unknown template,Unknown template
Unlink,Unlink
Unlock account,Unlock account
Unsaved changes,Unsaved changes
Unsupported OCR language,OCR 지원되지 않는 언어
Untitled,Untitled
Untranslated Terms,Untranslated Terms
Update,업데이트
UPDATE,업데이트
Update from collection,Update from collection
Update success,Update success
Updated,Updated
Updated file,Updated file
Updated multiple entities,Updated multiple entities
Updated permissions on entity,Updated permissions on entity
Updated relationships,Updated relationships
Updated settings,Updated settings
Updated translations,Updated translations
Updated user,Updated user
Updating template properties across,Updating template properties across
Updating…,Updating…
Upload and select file,업로드 및 파일 선택
Upload from computer,컴퓨터에서 업로드
Upload image,Upload image
Upload PDF,PDF 업로드
Upload PDF(s) to create,PDF 업로드해 엔티티 생성
Uploaded attachment,Uploaded attachment
Uploaded custom file,Uploaded custom file
Uploaded document,Uploaded document
Uploaded file,Uploaded file
Uploading,업로드 중
Uploading ...,업로드 중
Uploads,업로드
URL,URL
Use,사용
Use as filter,Use as filter
Use for training,Use for training
"Use this iframe on external sites. Change the locale query parameter in the URL if
                needed.","Use this iframe on external sites. Change the locale query parameter in the URL if
                needed."
Use URL,Use URL
User,사용자
User Action,User Action
User Role,User Role
User updated,User updated
Username,사용자 이름
Username is required,사용자 이름이 필요합니다.
Username is too long,사용자 이름이 너무 깁니다.
Username is too short,사용자 이름이 너무 짧습니다.
"Username, email or group","Username, email or group"
Usernames cannot have spaces,Usernames cannot have spaces
Users,사용자
Users & Groups,Users & Groups
Using Authenticator,Using Authenticator
Using URLs,Using URLs
Uwazi,Uwazi
Uwazi is developed by,Uwazi 제작 및 개발:
Uwazi UI,Uwazi UI
Validating,Validating
Validating file structure and headers.,Validating file structure and headers.
Value,Value
Value cannot be transformed to the correct type,Value cannot be transformed to the correct type
values,values
Verify,검증
Verifying...,검증 중
via,via
View,보기
view,보기
View entities,View entities
View entity,View entity
View in library,라이브러리에서 보기
View page,페이지 보기
Visibility,Visibility
Visualization data updated from your collection.,Visualization data updated from your collection.
WARNING,WARNING
Warning: you are editing multiple entities. Fields marked with a,경고: 여러 엔티티 동시에 편집
We can't find the page you're looking for.,We can't find the page you're looking for.
Welcome to Uwazi,Uwazi 에 오신 것을 환영합니다.
"Well, this is awkward...",알 수 없는 에러 발생
Whitelisted templates,Whitelisted templates
wildcard,wildcard
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur."
will be updated with the same value.,동일 값으로 업데이트됩니다.
Will show the entire media inside the container.,Will show the entire media inside the container.
with,with
With great power comes great responsibility!,큰 일에는 큰 책임이 따르는 법!
wom?n,wom?n
x,x
x less,덜 보기
x more,더 보기
Year,연도
Yes,Yes
You can add one or many items in this form.,You can add one or many items in this form.
You can also enter this secret key into your Authenticator app.,You can also enter this secret key into your Authenticator app.
You can create metadata templates in,메타데이터 템플릿을 작성할 수 있습니다:
"You can embed advanced components like maps, charts and entity lists in your page.","You can embed advanced components like maps, charts and entity lists in your page."
"You can start by selecting text in the document and clicking the ""Add to ToC""
                  button.","You can start by selecting text in the document and clicking the ""Add to ToC""
                  button."
You do not have write permission on all entities,You do not have write permission on all entities
You have unsaved changes. Discard them and leave this page? This action cannot be undone.,You have unsaved changes. Discard them and leave this page? This action cannot be undone.
"You have unsaved changes. Discard them and switch language? This action cannot be
              undone.","You have unsaved changes. Discard them and switch language? This action cannot be
              undone."
You have unsaved changes. Do you want to continue?,You have unsaved changes. Do you want to continue?
You should activate this feature for enhanced account security,계정 보안 향상이 필요한 경우 이 기능을 활성화해야 합니다.
You should activate this feature for enhanced account security.,You should activate this feature for enhanced account security.
You won't be able to save an entity if this property is empty.,You won't be able to save an entity if this property is empty.
You're all caught up,You're all caught up
Your account's security is enhanced with two-factor authentication.,Your account's security is enhanced with two-factor authentication.
Z → A,Z → A
Zoom in,확대
Zoom in library view,라이브러리 뷰 확대
Zoom out,축소
Zoom out library view,라이브러리 뷰 축소
