Key,Thai
Property as filter description,"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
property date,Date
property daterange,Date range
property generatedid,Generated ID
property geolocation,Geolocation
property image,Image
property link,Link
property markdown,Rich text
property media,Media
property multidate,Multiple date
property multidaterange,Multiple date range
property multiselect,Multiple select
property numeric,Numeric
property preview,Preview
property relationship,Relationship
property select,Select
property text,Text
Property type,Property type
Protection,การป้องกัน
ProTip!,โปรทิป!
Public entities description,Caution: the selected entities will be **public**. Anyone will be able to see them.
Public form settings description,Here you can configure the public form destination and the whitelisted templates
Public Form submit URL,Public Form submit URL
Public form URL description,"If you have configured a public form and would like a different Uwazi collection to receive the submissions, enter its URL here."
Public form whitelist description,"If you wish to include Public Forms on your pages, you must white-list the template IDs for which Public Forms are expected."
Public instance,Public instance
Publish,เผยแพร่
Published,ตีพิมพ์แล้ว
QR Code,QR Code
Query,สืบค้น
Queued,Queued
RAW,RAW
Re-uploaded document,Re-uploaded document
Receiving email,Receiving email
Receiving email description,"If you have a contact form, this is the email address that will receive the form's submissions."
Recommended,Recommended
Reference,Reference
References,การอ้างอิง
Reject,ปฏิเสธ
Related entities created,Related entities created
Relation type,Relation type
Relationship,ความสัมพันธ์
Relationship Type,Relationship Type
Relationship type,Relationship type
Relationship type created successfully.,Relationship type created successfully.
Relationship type name,Relationship type name
Relationship type name already exists,Relationship type name already exists
Relationship types,ประเภทความสัมพันธ์
relationships,ความสัมพันธ์
Relationships,ความสัมพันธ์
Relationships saved,Relationships saved
RelationType saved,บันทึกประเภทความสัมพันธ์
remaining files,remaining files
Remote Server Unreachable,Remote Server Unreachable
Remove,ลบ
Remove from training set,Remove from training set
remove icon,ลบไอคอน
Removed language,Removed language
Rename,เปลี่ยนชื่อ
Renamed attachment,Renamed attachment
Repeat Password,ใส่รหัสผ่านอีกครั้ง
Request id #,ขอรหัส #
Request token,Request token
Required,Required
Required property,คุณสมบัติที่จำเป็น
Required relationships were prepared.,Required relationships were prepared.
Required thesauri values were prepared.,Required thesauri values were prepared.
Reset,รีเซ็ต
Reset 2FA,สร้าง 2FA ใหม่
Reset default translation,Reset default translation
Reset language,Reset language
Reset Password,สร้าง รหัสผ่าน ใหม่
Reset passwords,Reset passwords
Restricted,ถูก จำกัด
Retryable,Retryable
Retrying,Retrying
Return to login,กลับไปที่การเข้าสู่ระบบ
Review,Review
Reviewed,ตรวจสอบแล้ว
Role,บทบาท
Route,เส้นทาง
Row,Row
Rows failed,Rows failed
Rows processed,Rows processed
Sample,ตัวอย่าง
Satellite,Satellite
Save,บันทึก
Save & Preview,Save & Preview
Save changes,บันทึกการเปลี่ยนแปลง
Save password,บันทึกรหัสผ่าน
Save your work to make change permanent,Save your work to make change permanent
Saved successfully.,Saved successfully.
Saving...,Saving...
Scanning,Scanning
Scanning rows before import.,Scanning rows before import.
Search,ค้นหา
Search item,ค้นหารายการ
Search related entities or documents,ค้นหารายการหรือเอกสารที่เกี่ยวข้อง
Search relevance,ความเกี่ยวข้องของการค้นหา
Search text,ข้อความค้นหา
Search text description,Type something in the search box to get some results.
Search Tips,เคล็ดลับการค้นหา
Search Tips: boolean,เคล็ดลับการค้นหา: บูลีน
Search Tips: exact term,เคล็ดลับการค้นหา: คำที่ตรงตัว
Search Tips: one char wildcard,เคล็ดลับการค้นหา: ตัวอักษรพิเศษ
Search Tips: proximity,เคล็ดลับการค้นหา: คำใกล้เคียง
Search Tips: wildcard,เคล็ดลับการค้นหา: ไวลการ์ด
Searching...,Searching...
Secondary button,Secondary button
Secret keys,Secret keys
Security,Security
Select,Select
Select & Search,Select & Search
Select all,เลือกทั้งหมด
Select an existing image,Select an existing image
Select favicon image,Select favicon image
Select files on your device,เลือกไฟล์บนอุปกรณ์ของคุณ
Select from computer,Select from computer
Select relationship type,เลือกประเภทความสัมพันธ์
Select site logo image,Select site logo image
Select target paragraph,เลือกย่อหน้าที่ต้องการ
Select the template to store the extracted paragraphs.,Select the template to store the extracted paragraphs.
Select the template with the source documents.,Select the template with the source documents.
Select...,เลือก...
Selected,Selected
selected,เลือกแล้ว
selected of,ถูกเลือกโดย
Selected or suggested,Selected or suggested
Selected templates,Selected templates
Send,ส่ง
Send recovery email,ส่งอีเมลการกู้คืน
Sending email,Sending email
Sending email description,This is the email address that will appear as the sender when an email is sent from your Uwazi collection to registered users. The default address is *no-reply@uwazi.io*. You can set a custom one by including your desired email address here.
Sending labeled data,Sending labeled data
Services,Services
Set as default,ตั้งเป็นค่าเริ่มต้น
Set default language,Set default language
Set default template,Set default template
Set the default starting point for your geolocation properties.,ตั้งค่าจุดเริ่มต้นอัตโนมัติสำหรับคุณสมบัติทางภูมิศาสตร์ของคุณ
Settings,การตั้งค่า
settings,การตั้งค่า
Settings navigation active background,Settings navigation active background
Settings sidebar background,Settings sidebar background
Settings updated,การตั้งค่าถูกอัปเดตแล้ว
Share,แบ่งปัน
Share edit access with other users,Share edit access with other users
Share entities with the public,Share entities with the public
Share with people and groups,แบ่งปันกับผู้คนและกลุ่ม
Shared as editor,แบ่งปันสิทธิ์การแก้ไข
Shared as viewer,แบ่งปันสิทธิ์การมอง
Show actions,Show actions
Show cookie policy,แสดงนโยบายคุกกี้
Show filters,แสดงตัวกรอง
Show in cards,Show in cards
Show more,แสดงมากขึ้น
Show toolbar,Show toolbar
Showing,Showing
shown of,แสดงโดย
Sign in,เข้าสู่ระบบ
Simple mode,Simple mode
Single relationships must have a hub,Single relationships must have a hub
Site logo description,"The logo appears in the top bar next to your collection name (about 200×32 pixels).

1. Upload images in Custom Uploads if needed.
2. Click ""Select site logo image"" and pick a file; only images from Custom Uploads are listed."
Site logo no images hint,"No image files from Custom Uploads yet. Add PNG, SVG, or JPEG images there first."
Size,ขนาด
Skip to main content,Skip to main content
Something went wrong,มีสิ่งผิดปกติเกิดขึ้น
Sort,เรียงลำดับ
Sort ascending,Sort ascending
Sort by,เรียงลำดับ
Sort descending,Sort descending
sorted by,เรียงลำดับโดย
Source,Source
Source relationship type,Source relationship type
Source template,Source template
Source Template,Source Template
Source's role in the relationship Source-Target.,Source's role in the relationship Source-Target.
Stage,Stage
State,State
Statistics,Statistics
Stats & Filters,Stats & Filters
Status,Status
Storage,Storage
Streets,Streets
Strict mode,โหมดแบบจำกัด
Style,สไตล์
Submit,ส่ง
Submitted entity to a remote instance,Submitted entity to a remote instance
Submitting,Submitting
Success,Success
"Success, Upload another?","Success, Upload another?"
Suggestion,Suggestion
Suggestion:,Suggestion:
Suggestions,คำแนะนำ
suggestions,suggestions
Suggestions sent,Suggestions sent
Suggestions updated,Suggestions updated
Supporting files,รองรับไฟล์
Synced template,Synced template
Synced Template,Synced Template
Synced templates cannot be deleted.,Synced templates cannot be deleted.
syntax to create page content,ไวยากรณ์เพื่อสร้างเนื้อหาของหน้า
System translations,System translations
Table,ตาราง
Table of Contents,สารบัญ
Table of contents,สารบัญ
Table of contents saved successfully,Table of contents saved successfully
Table view,มุมมองตาราง
Target relationship type,Target relationship type
Target Template,Target Template
Target template,Target template
Target's role in the relationship Source-Target.,Target's role in the relationship Source-Target.
Tasks,Tasks
Template,แม่แบบ
Template changes are being applied to all related entities.,Template changes are being applied to all related entities.
Template color,Template color
Template conflict,Template conflict
Template name,Template name
Template name already exists,Template name already exists
Template processing completed.,Template processing completed.
Template saved successfully.,Template saved successfully.
Template with a long number of entities,"The template has changed and the associated entities will be re-indexed,
       this process may take several minutes, do you want to continue?"
Template(s),Template(s)
Template(s) deleted successfully.,Template(s) deleted successfully.
Templates,แม่แบบ
Templates:,Templates:
Text,ข้อความ
Text references limit warning,Text references are temporarily limited to a maximum of 300. We are currently working on a fix for this issue.
The import process threw an error:,กระบวนการนำเข้าเกิดความผิดพลาด
The import process threw some warnings:,The import process threw some warnings:
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process."
The request could not be processed.,The request could not be processed.
The source of this template is a sync.,The source of this template is a sync.
The token does not validate against the secret key,The token does not validate against the secret key
The token does not validate against the secret key!,The token does not validate against the secret key!
Theme and branding,Theme and branding
Theme colors,Theme colors
Theme colors imported,Theme colors imported
Theme favicon,Theme favicon
Theme instance file invalid,Theme instance file invalid
Theme logotype,Theme logotype
Theme presets,Theme presets
Theme preview,Theme preview
There are no pages enabled for entity view,ไม่มีหน้าที่ถูกตั้งค่าสำหรับมุมมองรายการ
There are no untranslated terms,There are no untranslated terms
Thesauri,thesauri
Thesauri added.,Thesauri added.
Thesauri deleted,Thesauri deleted
Thesauri name,Thesauri name
thesauri new group desc,thesauri new group desc
thesauri new item desc,thesauri new item desc
Thesauri updated.,Thesauri updated.
Thesauri values created,Thesauri values created
Thesaurus,Thesaurus
Thesaurus created successfully.,Thesaurus created successfully.
Thesaurus name,Thesaurus name
Thesaurus name already exists,Thesaurus name already exists
Thesaurus saved,กลุ่มคำอธิบายที่บันทึกแล้ว
This action may take some time while we add the extra language to the entire collection.,This action may take some time while we add the extra language to the entire collection.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,พื้นที่นี้อนุญาตให้คุณใส่โค้ดจาว่าสคริปได้ มันจะช่วยให้คุณสามารถค้นพบความเป็นไปได้ใหม่ๆ
This content is automatically generated,เนื้อหานี้ถูกสร้างขึ้นโดยอัตโนมัติ
"This entity has no document, you probably want to see the metadata",รายการนี้ไม่มีเอกสาร คุณอาจจะอยากดูข้อมูลเมตาดาตาเพิ่มเติม
This entity is restricted from public view.,รายการนี้ถูกจำกัดการเข้าถึงแบบสาธารณะ
This field is required,This field is required
This file could not be displayed. Try refreshing the page.,This file could not be displayed. Try refreshing the page.
This file could not be opened. It may be corrupted or not a valid PDF.,This file could not be opened. It may be corrupted or not a valid PDF.
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","This file is currently unavailable. Please contact your administrator if the issue
                  persists."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","This file is currently unavailable. Please contact your administrator if the issue
              persists."
This file type is not supported on media fields,This file type is not supported on media fields
This group is empty,This group is empty
This import is waiting in queue.,This import is waiting in queue.
This label already exists in this template,This label already exists in this template
This option will show a notification about the use of cookies in your instance.,ตัวเลือกนี้จะแสดงการแจ้งเตือนเกี่ยวกับการใช้คุ้กกี้ในระบบของคุณ
This property can not be deleted,This property can not be deleted
This property will appear in the library cards as part of the basic info.,คุณสมบัตินี้จะถูกแสดงในการ์ดไลบรารีและเป็นส่วนหนึ่งของข้อมูลพื้นฐาน
This property will be shown using all the width available.,คุณสมบัตินี้จะถูกแสดงโดยใช้พื้นที่ทั้งหมดที่มีอยู่
This property will be shown without the label,This property will be shown without the label
This property will be the default filter in the library for this template.,This property will be the default filter in the library for this template.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
This table of contents was automatically created by the system.,This table of contents was automatically created by the system.
this template,this template
This template is in use by existing entities and cannot be deleted.,This template is in use by existing entities and cannot be deleted.
Time,เวลา
Timelinks,Timelinks
Timestamp,Timestamp
Title,ชื่อหัวข้อ
To,To
To add references you can start by selecting text in the document,To add references you can start by selecting text in the document
"To bring you a better experience, this site uses cookies.",เพื่อประสบการณ์ที่ดีของคุณ เว็บไซต์ของเราจะทำการเก็บคุกกี้
"To complete the account creation process, please create a password for your account",เพื่อให้การสร้างบัญชีเสร็จสมบูรณ์กรุณาสร้างรหัสผ่านสำหรับบัญชีของคุณ
to learn how to add and configure a contact form on a webpage.,to learn how to add and configure a contact form on a webpage.
to learn more about the components.,ในกรณีที่ต้องการเรียนรู้เพิ่มเติมเกี่ยวกับส่วนประกอบ
to view your authentication code and verify your identity.,ในกรณีที่ต้องการดูรหัสผ่านและยืนยันตัวตน
Today,Today
Tools,เครื่องมือ
total entities,total entities
Total files,Total files
total files,total files
"Total files from main documents, supporting files and uploads","Total files from main documents, supporting files and uploads"
Total imports,Total imports
total users,total users
Train,Train
Train model,Train model
Train model description,Training machine learning models may take from minutes up to a couple of hours depending on the amount of labeled data and the difficulty of the task.
Training,Training
Training model,Training model
Training sample,Training sample
Translate,แปลภาษา
Translation,Translation
Translations,การแปล
Translations imported.,Translations imported.
Translations reset successfully,Translations reset successfully
Translations saved,บันทึกการแปล
Try adjusting your search terms or check for typos,Try adjusting your search terms or check for typos
Turn off inline translation,Turn off inline translation
Two-Factor Authentication,Two-Factor Authentication
Two-factor authentication enabled,Two-factor authentication enabled
Two-factor authentication failed.,Two-factor authentication failed.
Two-factor authentication secret,Two-factor authentication secret
Two-factor verification failed,การตรวจสอบสองขั้นตอนล้มเหลว
Two-step verification,การตรวจสอบสองขั้นตอน
Two-step verification token required,Two-step verification token required
Type,ประเภท
U,U
"Unable to save, failed response","Unable to save, failed response"
Unauthorized,ไม่ได้รับอนุญาต
Unexpected error,Unexpected error
Uninstall,Uninstall
Uninstall language,Uninstall language
Uninstalling language,Uninstalling language
Unlink,Unlink
Unlock account,Unlock account
Unsupported OCR language,Unsupported OCR language
Untranslated Terms,Untranslated Terms
Update,แก้ไขเมื่อ
UPDATE,แก้ไขเมื่อ
Update success,Update success
Updated,Updated
Updated file,Updated file
Updated multiple entities,Updated multiple entities
Updated permissions on entity,Updated permissions on entity
Updated relationships,Updated relationships
Updated settings,Updated settings
Updated translations,Updated translations
Updated user,Updated user
Updating template properties across,Updating template properties across
Upload a ZIP or CSV file.,นำเข้าไฟล์ zip หรือ csv
Upload and select file,นำเข้าและเลือกไฟล์
Upload from computer,นำเข้าจากคอมพิวเตอร์
Upload image,Upload image
Upload PDF,นำเข้า PDF
Upload PDF(s) to create,นำเข้า PDF เพื่อสร้าง
Uploaded attachment,Uploaded attachment
Uploaded custom file,Uploaded custom file
Uploaded document,Uploaded document
Uploaded file,Uploaded file
Uploading,การอัพโหลด
Uploading ...,นำเข้า...
Uploading file,นำเข้าไฟล์
Uploads,อัปโหลด
URL,url
Use,ใช้
Use as filter,Use as filter
Use for training,Use for training
User,ผู้ใช้
User Action,User Action
User Role,User Role
User updated,User updated
Username,ชื่อผู้ใช้
Username is required,จำเป็นต้องใส่ชื่อผู้ใช้
Username is too long,ชื่อผู้ใช้ยาวเกินไป
Username is too short,ชื่อผู้ใช้สั้นเกินไป
Usernames cannot have spaces,Usernames cannot have spaces
Users,ผู้ใช้
Users & Groups,Users & Groups
Using Authenticator,Using Authenticator
Using URLs,Using URLs
Uwazi,Uwazi
Uwazi is developed by,Uwazi ได้รับการพัฒนาโดย
Uwazi UI,uwazi ui
Validating,Validating
Validating file structure and headers.,Validating file structure and headers.
Value,Value
Value cannot be transformed to the correct type,Value cannot be transformed to the correct type
values,values
Verify,ตรวจสอบ
Verifying...,กำลังตรวจสอบ....
View,ดู
view,ดู
View entities,View entities
View entity,View entity
View in library,ดูในไลบรารี
View page,ดูหน้า
WARNING,WARNING
Warning: you are editing multiple entities. Fields marked with a,คำเตือนซ คุณกำลังแก้ไขหลายรายการ ช่องที่ถูกทำเครื่องหมายด้วย
We can't find the page you're looking for.,We can't find the page you're looking for.
Welcome to Uwazi,ยินดีต้อนรับสู่ Uwazi
"Well, this is awkward...",แย่หน่อยนะ...
Whitelisted templates,Whitelisted templates
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur."
will be updated with the same value.,จะถูกอัปเดทด้วยค่าเดียวกัน
Will show the entire media inside the container.,Will show the entire media inside the container.
with,กับ
With great power comes great responsibility!,พลังที่ยิ่งใหญ่มากับความรับผิดชอบที่ใหญ่ยิ่ง!
x less,ลดขนาดลง
x more,เพิ่มขนาดขึ้น
Year,ปี
Yes,Yes
You can add one or many items in this form.,You can add one or many items in this form.
"You can also embed advanced components like maps, charts and entity lists in your page.",นอกจากนี้คุณยังสามารถฝังส่วนประกอบที่ซับซ้อนเช่น แผนที่ แผนภูมิ และลิสต์รายการได้ในหน้าของคุณ
You can also enter this secret key into your Authenticator app.,You can also enter this secret key into your Authenticator app.
You can create metadata templates in,คุณสามารถสร้างแม่แบบเมตาดาต้าได้
"You can start by selecting text in the document and clicking the ""Add to ToC""
                  button.","You can start by selecting text in the document and clicking the ""Add to ToC""
                  button."
You have unsaved changes. Do you want to continue?,You have unsaved changes. Do you want to continue?
You should activate this feature for enhanced account security,คุณควรเปิดใช้งานคุณสมบัตินี้เพื่อเพิ่มความปลอกภัยให้กับบัญชีของคุณ
You should activate this feature for enhanced account security.,You should activate this feature for enhanced account security.
You won't be able to save an entity if this property is empty.,You won't be able to save an entity if this property is empty.
Your account's security is enhanced with two-factor authentication.,Your account's security is enhanced with two-factor authentication.
Zoom in,ขยายเข้า
Zoom in library view,ขยายเข้าไปยังมุมมองไลบรารี
Zoom out,ขยายออก
Zoom out library view,ขยายออกไปยังมุมมองไลบรารี
