Key,Arabic
Ok,موافق
OK,موافق
one character,one character
"Only properties with the same name and configuration in every data source are available
            for both dimensions.","Only properties with the same name and configuration in every data source are available
            for both dimensions."
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Only templates with at least one rich text property and one numeric property are
                available for selection."
"Only the extractor will be deleted, all created entities will remain on the library.","Only the extractor will be deleted, all created entities will remain on the library."
Open,Open
Open entity,Open entity
Open group,Open group
Open link,Open link
Open PDF,Open PDF
Open the two-factor Authenticator app on your device,افتح تطبيق المصادقة الثنائية في جهازك
Options,Options
or,أو
or drop your files here.,أو أفلت ملفاتك هنا
Order,ترتيب
Other,آخر
other,آخر
Other users will be affected by this action!,Other users will be affected by this action!
Others,Others
Outgoing,Outgoing
p.,p.
Page,صفحة
Page not found,لم يتم العثور على الصفحة
Page published successfully.,Page published successfully.
Pages,الصفحات
Paragrap number extraction property (numeric),Paragrap number extraction property (numeric)
Paragraph,Paragraph
Paragraph Extraction,Paragraph Extraction
Paragraph Extractor added,Paragraph Extractor added
Paragraph text extraction property (rich text),Paragraph text extraction property (rich text)
Paragraphs,Paragraphs
Paragraphs deleted,Paragraphs deleted
parties,parties
Password,كلمه المرور
Password + 2fa,Password + 2fa
Password changed success,Password changed success
Password Error,خطأ كلمة المرور
Password is too long,كلمة المرور طويلة جداً
Password updated,تم تحديث كلمة المرور
Passwords do not match,Passwords do not match
Paste this tag in a page HTML. The chart uses the page language.,Paste this tag in a page HTML. The chart uses the page language.
Paste URL,Paste URL
Paste URL here,Paste URL here
PDF,PDF
Pending,Pending
People and groups,People and groups
per page,per page
Permission,إذن
Permission level,Permission level
Permission on entities explicitly shared with the user,الإذن للكيانات (للإدخالات) التي تم مشاركتها صراحة مع المستخدم
Permissions,الأذونات
Permissions updated,Permissions updated
Pick a color,Pick a color
Plain text,نص عادي
Please contact an admin for details.,يرجى الاتصال بالمشرف (المسؤول) للحصول على التفاصيل.
Please type in,Please type in
Please type in letters and numbers from the image to start the export.,يرجى كتابة الحروف والأرقام من الصورة لبدء التصدير.
Pre-filled from your selection. Edit as needed.,Pre-filled from your selection. Edit as needed.
Preflight scan completed.,Preflight scan completed.
Preparing required relationships.,Preparing required relationships.
Preparing required thesauri values.,Preparing required thesauri values.
Preserve,Preserve
Preserve Extension,Preserve Extension
Preserve Setup Description,"If you know your Uwazi URL and TOKEN click the link below, and fill the required information."
Press enter to add,اضغط على مفتاح الإدخال لإضافة
Preview,معاينة
Preview entity,Preview entity
Preview updates automatically (300ms debounce),Preview updates automatically (300ms debounce)
Preview updates when the JSON is valid.,Preview updates when the JSON is valid.
Previous,سابق
Primary button,Primary button
Primary document,Primary document
Primary Documents,المستندات الأولية
Priority sorting,تصنيف حسب الأولوية
Priority sorting description,"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Private,Private
Private entities description,تنبيه: الكيانات (الإدخالات) المختارة سوف .لن تتاح رؤيتها إلا للمستخدمين المسموح لهم
Private instance,قاعدة بيانات داخلية
Process,Process
Process extractor,Process extractor
Process selected,Process selected
Processed,Processed
Processed rows,Processed rows
Processing,معالجة
Progress,Progress
Properties,الخصائص
Properties from other templates in the collection using the same label,خصائص من قوالب أخرى في المجموعة تستخدم التسمية نفسها
Properties from other templates in the collection using the same label.,Properties from other templates in the collection using the same label.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting."
Property,Property
Property as filter description,"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
property date,Date
property daterange,Date range
property generatedid,Generated ID
property geolocation,Geolocation
property image,Image
property link,Link
property markdown,Rich text
property media,Media
property multidate,Multiple date
property multidaterange,Multiple date range
property multiselect,Multiple select
property numeric,Numeric
property preview,Preview
property relationship,Relationship
property select,Select
property text,Text
Property type,Property type
Protection,حماية
ProTip!,نصيحة احترافية!
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.","Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors."
Public entities description,Caution: the selected entities will be **public**. Anyone will be able to see them.
Public form settings description,Here you can configure the public form destination and the whitelisted templates
Public Form submit URL,Public Form submit URL
Public form URL description,"If you have configured a public form and would like a different Uwazi collection to receive the submissions, enter its URL here."
Public form whitelist description,"If you wish to include Public Forms on your pages, you must white-list the template IDs for which Public Forms are expected."
Public instance,Public instance
Publish,انشر
Publish release,Publish release
Published,منشور
QR Code,QR Code
Query,استعلام
Queued,Queued
RAW,RAW
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).","Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that)."
Re-uploaded document,Re-uploaded document
Receiving email,البريد الالكتروني المستقبل
Receiving email description,"If you have a contact form, this is the email address that will receive the form's submissions."
Recommended,Recommended
Reference,Reference
References,مراجع
references,مراجع
References in document,References in document
Refresh,Refresh
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.","Refresh manually when you have added data and cannot wait for the next
                        scheduled run."
Refresh mode,Refresh mode
Reject,رفض
Related entities created,Related entities created
Relation type,Relation type
Relationship,صلة
Relationship created,Relationship created
Relationship Type,Relationship Type
Relationship type,Relationship type
Relationship type created successfully.,Relationship type created successfully.
Relationship type name,Relationship type name
Relationship type name already exists,Relationship type name already exists
Relationship types,أنواع العلاقات
relationships,العلاقات
Relationships,العلاقات
Relationships saved,Relationships saved
relationships? This action cannot be undone.,relationships? This action cannot be undone.
RelationType saved,تم حفظ نوع العلاقة
Release message,Release message
remaining files,remaining files
Remote Server Unreachable,Remote Server Unreachable
Remove,إزالة
Remove from connection,Remove from connection
Remove from training set,Remove from training set
remove icon,إزالة الأيقونة
Removed language,Removed language
Rename,إعادة تسمية
Renamed attachment,Renamed attachment
Repeat Password,إعادة كلمة المرور
Request id #,طلب المعرف #
Request token,Request token
Required,Required
Required property,الخاصية المطلوبة
Required relationships were prepared.,Required relationships were prepared.
Required thesauri values were prepared.,Required thesauri values were prepared.
Reset,إعادة ضبط
Reset 2FA,إعادة تعيين المصادقة الثنائية
Reset default translation,Reset default translation
Reset language,Reset language
Reset Password,إعادة تعيين كلمة المرور
Reset passwords,Reset passwords
Resize panels,Resize panels
Restore,Restore
Restore previous version,Restore previous version
Restricted,مُقَيَّد
Retryable,Retryable
Retrying,Retrying
Return to login,العودة لتسجيل الدخول
Review,Review
Reviewed,تمت مراجعته
Role,دور
Route,مسار
Row,Row
Row density,Row density
Rows failed,Rows failed
Rows processed,Rows processed
Sample,عينة
Satellite,Satellite
Save,احفظ
Save & Preview,Save & Preview
Save changes,حفظ التغييرات
Save password,حفظ كلمة المرور
Save the visualization before refreshing.,Save the visualization before refreshing.
Save the visualization to get embed code.,Save the visualization to get embed code.
Save your work to make change permanent,Save your work to make change permanent
Saved successfully.,Saved successfully.
Saved with warnings,Saved with warnings
Saving,Saving
Saving...,Saving...
Scanning,Scanning
Scanning rows before import.,Scanning rows before import.
Schedule,Schedule
Schedules run in UTC (Coordinated Universal Time).,Schedules run in UTC (Coordinated Universal Time).
Search,ابحث
"Search  •  AND, OR, NOT, ""exact"", wild*","Search  •  AND, OR, NOT, ""exact"", wild*"
Search entities...,Search entities...
Search entities…,Search entities…
Search item,البحث عن بند
Search related entities or documents,البحث عن الكيانات أو المستندات ذات الصلة
Search relationships,Search relationships
Search relevance,ملائمة البحث
Search text,بحث النص
Search text description,اكتب نص في خانة البحث لتظهر بعض النتائج
Search Tips,نصائح البحث
Search tips,Search tips
Search Tips: boolean,نصائح البحث: Boolean
Search Tips: exact term,نصائح البحث: المصطلح الدقيق
Search Tips: one char wildcard,نصائح البحث: واحد char wildcard
Search Tips: proximity,بحث نصائح: القرب
Search Tips: wildcard,نصائح البحث: Wildcard
Searching...,Searching...
Secondary button,Secondary button
Secret keys,Secret keys
Security,Security
Select,Select
Select & Search,Select & Search
"Select a dimension to see supported chart types, or use Metric for a total count.","Select a dimension to see supported chart types, or use Metric for a total count."
Select a document to connect to a specific paragraph,Select a document to connect to a specific paragraph
Select a file,Select a file
Select all,اختار الكل
Select an existing image,Select an existing image
Select favicon image,Select favicon image
Select files on your device,اختر الملفات في جهازك
Select from computer,Select from computer
Select relationship,Select relationship
Select relationship type,اختر نوع العلاقة
Select site logo image,Select site logo image
Select target document,Select target document
Select target entity,Select target entity
Select target paragraph,اختر الفقرة المستهدفة
Select text in target document,Select text in target document
Select the template to store the extracted paragraphs.,Select the template to store the extracted paragraphs.
Select the template with the source documents.,Select the template with the source documents.
Select...,اختار...
Selected,Selected
selected,المحدد
selected of,مختار من
Selected or suggested,Selected or suggested
Selected templates,Selected templates
Send,إرسال
Send recovery email,إرسل بريد الكتروني للاستعادة
Sending email,البريد الالكتروني المرسل
Sending email description,This is the email address that will appear as the sender when an email is sent from your Uwazi collection to registered users. The default address is *no-reply@uwazi.io*. You can set a custom one by including your desired email address here.
Sending labeled data,Sending labeled data
Series,Series
Services,Services
Set as default,تعيين كافتراضي
Set default language,Set default language
Set default template,Set default template
Set the default starting point for your geolocation properties.,عين نقطة البدء الافتراضية لخصائص تحديد الموقع الجغرافي الخاصة بك
Settings,إعدادات
settings,إعدادات
Settings navigation active background,Settings navigation active background
Settings sidebar background,Settings sidebar background
Settings updated,تم تحديث الإعدادات
Share,مشاركة
Share edit access with other users,Share edit access with other users
Share entities with the public,Share entities with the public
Share with people and groups,المشاركة مع الأشخاص والمجموعات
Shared as editor,المشاركة كمحرر
Shared as viewer,المشاركة كمشاهد
Show actions,Show actions
Show cookie policy,عرض سياسة ملف تعريف الارتباط
Show details,Show details
Show filters,إظهار عوامل التصفية
Show in cards,اظهر في البطاقات
Show less,Show less
Show more,أظهر المزيد
Show remaining in panel,Show remaining in panel
Show toolbar,Show toolbar
Showing,Showing
shown of,مبين
Sign in,تسجيل الدخول
Simple mode,Simple mode
Single relationships must have a hub,Single relationships must have a hub
Site logo description,"The logo appears in the top bar next to your collection name (about 200×32 pixels).

1. Upload images in Custom Uploads if needed.
2. Click ""Select site logo image"" and pick a file; only images from Custom Uploads are listed."
Site logo no images hint,"No image files from Custom Uploads yet. Add PNG, SVG, or JPEG images there first."
Size,حجم
Skip to main content,Skip to main content
Some tasks may take a while. Bert will reply when it's done.,Some tasks may take a while. Bert will reply when it's done.
Something went wrong,حدث خطأ ما
Sort,تصنيف
Sort ascending,Sort ascending
Sort by,ترتيب حسب
Sort descending,Sort descending
Sort order,Sort order
Sort:,Sort:
sorted by,مرتبة حسب
Source,Source
Source entity,Source entity
Source page,Source page
Source relationship type,Source relationship type
Source template,Source template
Source Template,Source Template
Source's role in the relationship Source-Target.,Source's role in the relationship Source-Target.
Stage,Stage
stat*,stat*
State,State
Statistics,Statistics
Stats & Filters,Stats & Filters
Status,Status
Storage,Storage
Streets,Streets
Strict mode,الوضع الصارم
Style,نمط
Submit,إرسال
Submitted entity to a remote instance,Submitted entity to a remote instance
Submitting,Submitting
Success,Success
"Success, Upload another?","Success, Upload another?"
Suggestion,Suggestion
Suggestion:,Suggestion:
Suggestions,اقتراحات
suggestions,suggestions
Suggestions sent,Suggestions sent
Suggestions updated,Suggestions updated
Supported chart types for manual data,Supported chart types for manual data
Supported chart types for this configuration,Supported chart types for this configuration
Supporting file,Supporting file
Supporting files,ملفات الدعم
Synced template,Synced template
Synced Template,Synced Template
Synced templates cannot be deleted.,Synced templates cannot be deleted.
System translations,System translations
Table,جدول
Table of Contents,جدول المحتويات
Table of contents,جدول المحتويات
Table of contents saved successfully,Table of contents saved successfully
Table view,معاينة الجدول
Target entity,Target entity
Target entity type,Target entity type
Target relationship type,Target relationship type
Target Template,Target Template
Target template,Target template
Target's role in the relationship Source-Target.,Target's role in the relationship Source-Target.
Target:,Target:
Tasks,Tasks
Template,قالب
Template changes are being applied to all related entities.,Template changes are being applied to all related entities.
Template color,Template color
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.","Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback."
Template conflict,Template conflict
Template name,Template name
Template name already exists,Template name already exists
Template processing completed.,Template processing completed.
Template saved successfully.,Template saved successfully.
Template with a long number of entities,"The template has changed and the associated entities will be re-indexed,
       this process may take several minutes, do you want to continue?"
Template(s),Template(s)
Template(s) deleted successfully.,Template(s) deleted successfully.
Templates,قوالب
Templates:,Templates:
Text,نص
Text references limit warning,Text references are temporarily limited to a maximum of 300. We are currently working on a fix for this issue.
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process."
The request could not be processed.,The request could not be processed.
The source of this template is a sync.,The source of this template is a sync.
The token does not validate against the secret key,The token does not validate against the secret key
The token does not validate against the secret key!,The token does not validate against the secret key!
Theme and branding,Theme and branding
Theme colors,Theme colors
Theme colors imported,Theme colors imported
Theme favicon,Theme favicon
Theme instance file invalid,Theme instance file invalid
Theme logotype,Theme logotype
Theme presets,Theme presets
Theme preview,Theme preview
Then by:,Then by:
There are no pages enabled for entity view,لا توجد صفحات ممكنة لمعاينة الكيان (الإدخال)
There are no untranslated terms,There are no untranslated terms
Thesauri,قائمة المفردات
Thesauri added.,Thesauri added.
Thesauri deleted,Thesauri deleted
Thesauri name,Thesauri name
thesauri new group desc,thesauri new group desc
thesauri new item desc,thesauri new item desc
Thesauri updated.,Thesauri updated.
Thesauri values created,Thesauri values created
Thesaurus,Thesaurus
Thesaurus created successfully.,Thesaurus created successfully.
Thesaurus name,Thesaurus name
Thesaurus name already exists,Thesaurus name already exists
Thesaurus saved,تم حفظ قائمة المفردات
This action may take some time while we add the extra language to the entire collection.,This action may take some time while we add the extra language to the entire collection.
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,تتيح لك هذه المنطقة أن تلحق بالصفحة جافا سكريبت مخصصة، مما يفتح عالماً جديداً من الاحتمالات.
This chart type cannot display the current data.,This chart type cannot display the current data.
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.","This chart type cannot display the current data. Pick a supported type in the Chart
              tab."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.","This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters."
This content is automatically generated,أنشئ هذا المحتوى تلقائياً
"This entity has no document, you probably want to see the metadata",لا يتوافر مستند لهذا الكيان (الإدخال)، ربما ترغب في رؤية البيانات الوصفية
This entity is restricted from public view.,هذا الكيان (الإدخال) ممنوع من المعاينة العامة
This field is required,This field is required
This file could not be displayed. Try refreshing the page.,This file could not be displayed. Try refreshing the page.
This file could not be opened. It may be corrupted or not a valid PDF.,This file could not be opened. It may be corrupted or not a valid PDF.
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","This file is currently unavailable. Please contact your administrator if the issue
                  persists."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","This file is currently unavailable. Please contact your administrator if the issue
              persists."
This file type is not supported on media fields,This file type is not supported on media fields
This group is empty,This group is empty
This import is waiting in queue.,This import is waiting in queue.
This label already exists in this template,This label already exists in this template
This option will show a notification about the use of cookies in your instance.,سيظهر هذا الخيار إشعاراً حول استخدام ملفات تعريف الارتباط في قاعدة بياناتك
This page does not need Markdown,This page does not need Markdown
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.","This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components."
This property can not be deleted,This property can not be deleted
This property will appear in the library cards as part of the basic info.,ستظهر هذه الخاصية في بطاقات المكتبة كجزء من المعلومات الأساسية.
This property will be shown using all the width available.,ستظهر هذه الخاصية باستخدام كل العرض المتاح
This property will be shown without the label,This property will be shown without the label
This property will be the default filter in the library for this template.,This property will be the default filter in the library for this template.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering."
This search could not be completed. Try again later.,This search could not be completed. Try again later.
This table of contents was automatically created by the system.,This table of contents was automatically created by the system.
this template,this template
This template is in use by existing entities and cannot be deleted.,This template is in use by existing entities and cannot be deleted.
Time,زمن
Time (UTC),Time (UTC)
Timelinks,Timelinks
Timestamp,Timestamp
Title,عنوان
To,To
To add references you can start by selecting text in the document,To add references you can start by selecting text in the document
"To bring you a better experience, this site uses cookies.",لكي تستمتع بتجربة أفضل، يستخدم هذا الموقع ملفات تعريف الارتباط
"To complete the account creation process, please create a password for your account",لإكمال عملية إنشاء الحساب، يرجى إنشاء كلمة مرور لحسابك
to learn how to add and configure a contact form on a webpage.,to learn how to add and configure a contact form on a webpage.
to learn more about the components.,لمعرفة المزيد حول المكونات
to view your authentication code and verify your identity.,لمعاينة رمز المصادقة الخاص بك والتحقق من هويتك.
Today,Today
Toggle timeline mode,Toggle timeline mode
Tools,الأدوات
total entities,total entities
Total files,Total files
total files,total files
"Total files from main documents, supporting files and uploads","Total files from main documents, supporting files and uploads"
Total imports,Total imports
total users,total users
Train,Train
Train model,Train model
Train model description,Training machine learning models may take from minutes up to a couple of hours depending on the amount of labeled data and the difficulty of the task.
Training,Training
Training model,Training model
Training sample,Training sample
Translate,ترجم
Translation,Translation
Translations,الترجمات
Translations imported.,Translations imported.
Translations reset successfully,Translations reset successfully
Translations saved,تم حفظ الترجمات
Turn off inline translation,Turn off inline translation
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).","Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown)."
Two-Factor Authentication,Two-Factor Authentication
Two-factor authentication enabled,Two-factor authentication enabled
Two-factor authentication failed.,Two-factor authentication failed.
Two-factor authentication secret,Two-factor authentication secret
Two-factor verification failed,فشل التحقق الثنائي (التحقق بخطوتين)
Two-step verification,التحقق الثنائي (التحقق بخطوتين)
Two-step verification token required,Two-step verification token required
Type,نوع
U,U
"Unable to save, failed response","Unable to save, failed response"
Unauthorized,غير مصرح
Unexpected error,Unexpected error
Uninstall,Uninstall
Uninstall language,Uninstall language
Uninstalling language,Uninstalling language
Unknown entity,Unknown entity
Unknown template,Unknown template
Unlink,Unlink
Unlock account,Unlock account
Unsaved changes,Unsaved changes
Unsupported OCR language,لغة الOCR غير مدعومة
Untitled,Untitled
Untranslated Terms,Untranslated Terms
Update,تحديث
UPDATE,تحديث
Update from collection,Update from collection
Update success,Update success
Updated,Updated
Updated file,Updated file
Updated multiple entities,Updated multiple entities
Updated permissions on entity,Updated permissions on entity
Updated relationships,Updated relationships
Updated settings,Updated settings
Updated translations,Updated translations
Updated user,Updated user
Updating template properties across,Updating template properties across
Updating…,Updating…
Upload and select file,حمل الملف واختره
Upload from computer,حمل من الحاسوب
Upload image,Upload image
Upload PDF,تحميل ملف PDF
Upload PDF(s) to create,حمل ملف (ملفات) PDF لإنشاء
Uploaded attachment,Uploaded attachment
Uploaded custom file,Uploaded custom file
Uploaded document,Uploaded document
Uploaded file,Uploaded file
Uploading,جاري التحميل
Uploading ...,تحميل...
Uploads,تحميلات
URL,عنوان URL
Use,استخدام
Use as filter,Use as filter
Use for training,Use for training
"Use this iframe on external sites. Change the locale query parameter in the URL if
                needed.","Use this iframe on external sites. Change the locale query parameter in the URL if
                needed."
Use URL,Use URL
User,المستخدم
User Action,User Action
User Role,User Role
User updated,User updated
Username,اسم المستخدم
Username is required,اسم المستخدم مطلوب
Username is too long,اسم المستخدم طويل جداً
Username is too short,اسم المستخدم قصير جداً
"Username, email or group","Username, email or group"
Usernames cannot have spaces,Usernames cannot have spaces
Users,المستخدمين
Users & Groups,Users & Groups
Using Authenticator,Using Authenticator
Using URLs,Using URLs
Uwazi,Uwazi
Uwazi is developed by,أوازي من إعداد:
Uwazi UI,واجهة استخدام أوازي
Validating,Validating
Validating file structure and headers.,Validating file structure and headers.
Value,قيمة
Value cannot be transformed to the correct type,Value cannot be transformed to the correct type
values,values
Verify,تحقق
Verifying...,تحقق..
via,via
View,عرض
view,عرض
View entities,View entities
View entity,View entity
View in library,عرض في المكتبة
View page,عرض الصفحة
Visibility,Visibility
Visualization data updated from your collection.,Visualization data updated from your collection.
WARNING,WARNING
Warning: you are editing multiple entities. Fields marked with a,تنبيه: أنت تحرر كيانات (إدخالات) متعددة. الحقول تحمل علامة
We can't find the page you're looking for.,We can't find the page you're looking for.
Welcome to Uwazi,مرحباً بكم في أوازي
"Well, this is awkward...",إنه لأمر محرج...
Whitelisted templates,Whitelisted templates
wildcard,wildcard
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur."
will be updated with the same value.,سيحدث بالقيمة نفسها
Will show the entire media inside the container.,Will show the entire media inside the container.
with,مع
With great power comes great responsibility!,كلما ازدادت القوة، ازدادت معها المسؤولية!
wom?n,wom?n
x,x
x less,X أقل
x more,X أكثر
Year,سنة
Yes,Yes
You can add one or many items in this form.,You can add one or many items in this form.
You can also enter this secret key into your Authenticator app.,You can also enter this secret key into your Authenticator app.
You can create metadata templates in,يمكنك إنشاء قوالب البيانات الوصفية في
"You can embed advanced components like maps, charts and entity lists in your page.","You can embed advanced components like maps, charts and entity lists in your page."
"You can start by selecting text in the document and clicking the ""Add to ToC""
                  button.","You can start by selecting text in the document and clicking the ""Add to ToC""
                  button."
You do not have write permission on all entities,You do not have write permission on all entities
You have unsaved changes. Discard them and leave this page? This action cannot be undone.,You have unsaved changes. Discard them and leave this page? This action cannot be undone.
"You have unsaved changes. Discard them and switch language? This action cannot be
              undone.","You have unsaved changes. Discard them and switch language? This action cannot be
              undone."
You have unsaved changes. Do you want to continue?,You have unsaved changes. Do you want to continue?
You should activate this feature for enhanced account security,يجب عليك تفعيل هذه الميزة لتحقيق تأمين أفضل للحساب
You should activate this feature for enhanced account security.,You should activate this feature for enhanced account security.
You won't be able to save an entity if this property is empty.,You won't be able to save an entity if this property is empty.
You're all caught up,You're all caught up
Your account's security is enhanced with two-factor authentication.,Your account's security is enhanced with two-factor authentication.
Z → A,Z → A
Zoom in,تكبير
Zoom in library view,تكبير في المعاينة المكتبية
Zoom out,تصغير
Zoom out library view,تصغير في المعاينة المكتبية
